N	3gram	Losev_Prob_4	KulturaY
1	с точки зрения	11	16
2	для того чтобы	2	11
3	можно было бы	4	10
4	тем не менее	10	9
5	в том что	8	8
6	и т д	3	8
7	в зависимости от	3	7
8	той или иной	11	5
9	в данном случае	5	4
10	в связи с	3	4
11	с другой стороны	6	3
12	и тем не	3	3
13	сам по себе	6	3
14	не только в	4	3
15	того или иного	3	3
16	в том чтобы	2	3
17	на самом деле	3	3
18	о том что	3	3
19	какой мере не	4	2
20	ни в какой	4	2
21	сама по себе	2	2
22	только в том	3	2
23	тот или иной	2	2
24	в какой мере	4	2
25	дело не в	2	2
26	в той или	7	2
27	более или менее	2	2
28	в нашем смысле	10	2
29	к тому же	2	2
30	не говоря уже	2	2
