N	2gram	Bakhtin_Pr_2	Literetu
1	а не	7	20
2	и в	43	19
3	может быть	23	17
4	то же	8	12
5	и не	29	11
6	в том	6	10
7	как и	14	10
8	но и	14	10
9	же время	5	9
10	не может	18	9
11	в этом	13	9
12	в то	7	9
13	с другой	4	8
14	не только	11	8
15	и даже	3	8
16	том что	2	7
17	то что	7	7
18	так и	3	7
19	слова и	12	7
20	не менее	3	6
21	в себе	5	6
22	при этом	6	6
23	себя в	3	6
24	и на	10	6
25	с тобой	2	5
26	я не	4	5
27	у нас	2	5
28	одна из	2	5
29	но не	5	5
30	он не	9	5
31	на фоне	5	5
32	того что	2	5
33	то есть	4	5
34	что в	4	4
35	прежде всего	10	4
36	не в	11	4
37	того же	3	4
38	для него	8	4
39	в его	10	4
40	даже в	3	4
41	человека в	4	4
42	так что	5	4
43	другой стороны	3	4
44	мы не	4	4
45	по отношению	5	4
46	каждый из	2	4
47	тем что	3	4
48	точки зрения	13	4
49	я и	2	4
50	никогда не	9	3
51	о себе	7	3
52	в поэзии	2	3
53	в себя	3	3
54	что он	13	3
55	в нем	12	3
56	мы с	2	3
57	по существу	3	3
58	и как	2	3
59	но это	4	3
60	такой же	3	3
61	и он	5	3
62	в сущности	9	3
63	во всех	4	3
64	и др	2	3
65	отношению к	5	3
66	себе и	4	3
67	в их	3	3
68	то и	2	3
69	и для	3	3
70	так как	4	3
71	тем же	2	3
72	с точки	8	3
73	а в	5	3
74	и его	8	3
75	и то	2	3
76	и с	5	3
77	в другом	7	3
78	ничего не	3	3
79	другого в	3	3
80	уже в	2	2
81	ни было	2	2
82	у него	6	2
83	себя и	3	2
84	для этого	2	2
85	в них	4	2
86	него не	2	2
87	в конце	2	2
88	а за	3	2
89	в виду	3	2
90	в одном	12	2
91	в жизни	3	2
92	в каждом	11	2
93	вовсе не	5	2
94	что было	2	2
95	в такой	2	2
96	на два	3	2
97	и к	3	2
98	слово не	8	2
99	для нас	2	2
100	а затем	2	2
101	тем не	2	2
102	художественного творчества	2	2
103	и нет	4	2
104	ведь это	2	2
105	одно и	2	2
106	и без	2	2
107	до конца	4	2
108	тот же	3	2
109	еще не	9	2
110	было бы	5	2
111	и сам	7	2
112	не могу	2	2
113	наконец в	3	2
114	как бы	22	2
115	для себя	2	2
116	в руках	2	2
117	перед ним	2	2
118	что и	3	2
119	как он	2	2
120	все же	3	2
121	и т	13	2
122	в целом	2	2
123	ведь я	2	2
124	из них	2	2
125	могут быть	3	2
126	и до	4	2
127	мысли и	2	2
128	как раз	4	2
129	т п	9	2
130	и только	3	2
131	той же	3	2
132	уже не	3	2
133	и что	5	2
134	героя в	3	2
135	что не	2	2
136	и наконец	6	2
137	хотя бы	2	2
138	речь в	2	2
139	не знает	3	2
140	в своих	2	2
141	в результате	4	2
142	на себя	2	2
143	он и	3	2
144	и еще	2	2
145	что я	6	2
146	с другим	2	2
147	ту же	2	2
148	о том	5	2
149	в художественном	3	2
150	в каждой	2	2
151	с ним	3	2
152	в него	7	2
153	себя как	3	2
154	но в	10	2
