N	2gram	Tiupa_Anal_3	Problemy
1	и в	18	43
2	и не	12	29
3	может быть	9	23
4	как бы	10	22
5	не может	2	18
6	в пределах	4	16
7	но и	13	14
8	как и	14	14
9	точки зрения	3	13
10	в этом	14	13
11	что он	4	13
12	в нем	2	12
13	в одном	4	12
14	в каждом	3	11
15	не в	6	11
16	по себе	4	11
17	не только	22	11
18	прежде всего	5	10
19	и на	4	10
20	но в	2	10
21	в его	7	10
22	никогда не	5	9
23	в большинстве	2	9
24	еще не	6	9
25	в сущности	5	9
26	он не	6	9
27	с самим	2	8
28	для него	6	8
29	лишь в	5	8
30	то же	3	8
31	с точки	2	8
32	и его	13	8
33	перед нами	4	7
34	о себе	2	7
35	и сам	4	7
36	в самом	5	7
37	в то	3	7
38	то что	2	7
39	а не	9	7
40	в том	9	6
41	при этом	11	6
42	и все	2	6
43	не как	2	6
44	приводит к	4	6
45	здесь не	3	6
46	так сказать	2	6
47	да и	2	5
48	же время	3	5
49	хотя и	2	5
50	нам кажется	2	5
51	все это	3	5
52	по отношению	7	5
53	таким образом	4	5
54	все эти	2	5
55	а в	10	5
56	о том	6	5
57	но не	7	5
58	было бы	3	5
59	отношению к	7	5
60	в той	2	5
61	самом деле	2	5
62	и он	2	5
63	в слове	5	5
64	в себе	2	5
65	героя и	4	5
66	сама по	2	4
67	что в	9	4
68	в своем	4	4
69	с другой	7	4
70	к тому	6	4
71	в результате	5	4
72	в произведении	3	4
73	то есть	10	4
74	с его	8	4
75	в них	2	4
76	совершенно не	2	4
77	во всех	2	4
78	в отличие	2	4
79	себе самому	2	4
80	там где	2	4
81	мы не	3	4
82	как раз	7	4
83	только в	2	4
84	далеко не	4	4
85	отличие от	2	4
86	не менее	4	3
87	это не	2	3
88	или иной	5	3
89	тому же	3	3
90	о своей	2	3
91	той или	3	3
92	в их	6	3
93	и даже	8	3
94	он и	3	3
95	и здесь	2	3
96	во всем	3	3
97	его в	3	3
98	между тем	5	3
99	в жизни	2	3
100	на два	2	3
101	и к	4	3
102	в романе	2	3
103	того же	5	3
104	со всеми	2	3
105	когда он	2	3
106	даже в	2	3
107	что и	5	3
108	все же	4	3
109	себя в	4	3
110	так и	14	3
111	в себя	2	3
112	уже не	5	3
113	другой стороны	5	3
114	и для	2	3
115	той же	5	3
116	ничего не	3	3
117	тем что	2	3
118	могут быть	2	3
119	и ее	2	3
120	уже в	3	2
121	из этих	3	2
122	в конце	5	2
123	тем не	2	2
124	который не	2	2
125	и как	4	2
126	в глаза	2	2
127	как нам	5	2
128	например в	2	2
129	в целом	3	2
130	в форме	2	2
131	и без	3	2
132	отношения к	2	2
133	сказать что	2	2
134	а вот	2	2
135	ко второму	3	2
136	в первом	2	2
137	лишь на	3	2
138	во всяком	2	2
139	я и	3	2
140	и следует	2	2
141	произведения как	2	2
142	к третьему	2	2
143	с этим	3	2
144	на меня	2	2
145	об этом	2	2
146	в первой	8	2
147	одна из	2	2
148	по своему	2	2
149	указывает на	3	2
150	с их	3	2
151	на себя	2	2
152	этого слова	2	2
153	не есть	4	2
154	в точке	2	2
155	дело в	2	2
156	бы и	2	2
157	как в	3	2
158	входит в	2	2
159	том что	12	2
160	что не	3	2
161	мы можем	2	2
