N	2gram	Tiupa_Teor_1	EvropaiE
1	и в	18	37
2	в отношении	3	32
3	в пределах	5	25
4	точки зрения	9	23
5	что в	9	21
6	не только	16	18
7	с точки	3	17
8	в то	6	16
9	то же	7	15
10	отношении к	2	15
11	в своем	4	14
12	в качестве	24	14
13	же время	5	14
14	но и	9	14
15	и не	13	14
16	но в	9	14
17	в этом	8	12
18	в их	2	11
19	в том	16	11
20	в области	4	11
21	так и	10	10
22	отнюдь не	3	9
23	прежде всего	2	9
24	не может	4	9
25	в себе	9	9
26	только в	6	9
27	так же	2	9
28	к тому	2	8
29	в ее	5	8
30	одной стороны	2	8
31	в своей	6	8
32	с одной	2	8
33	между тем	5	8
34	как и	4	7
35	по своему	2	7
36	того что	4	7
37	а также	6	7
38	с другой	7	7
39	вовсе не	3	6
40	том что	9	6
41	может быть	17	6
42	вслед за	2	6
43	как бы	5	6
44	то что	3	6
45	и даже	2	6
46	то есть	12	6
47	в частности	16	5
48	столь же	2	5
49	не в	7	5
50	но не	9	5
51	одной из	2	5
52	со стороны	2	5
53	в той	2	5
54	тем самым	4	5
55	и по	2	5
56	и потому	2	5
57	именно в	3	4
58	или иного	3	4
59	или иной	4	4
60	можно сказать	3	4
61	в самом	4	4
62	то в	2	4
63	даже в	3	4
64	не на	2	4
65	и притом	2	4
66	сказать что	3	4
67	того или	3	4
68	как это	8	4
69	место в	5	3
70	и к	3	3
71	никогда не	4	3
72	жизни в	2	3
73	в них	2	3
74	на себя	2	3
75	этом смысле	2	3
76	представляет собой	9	3
77	в свою	3	3
78	того же	3	3
79	в культуре	2	3
80	известной степени	3	3
81	не является	4	3
82	и тем	3	3
83	что и	2	3
84	не будет	2	3
85	во второй	7	3
86	ее в	2	3
87	как в	5	3
88	и некоторые	2	3
89	и для	2	3
90	потому что	3	3
91	существования в	2	3
92	в данном	8	3
93	дело в	2	3
94	всего лишь	6	3
95	в порядке	3	2
96	не могут	2	2
97	а не	9	2
98	в этих	3	2
99	в какой	2	2
100	во втором	3	2
101	в большинстве	2	2
102	в одном	2	2
103	для понимания	2	2
104	и того	3	2
105	и как	2	2
106	есть в	2	2
107	свою очередь	2	2
108	между ними	4	2
109	имеет место	2	2
110	по преимуществу	4	2
111	он не	3	2
112	в его	6	2
113	мог бы	3	2
114	если в	2	2
115	в мире	19	2
116	на уровне	2	2
117	вместе с	2	2
118	данном случае	5	2
119	иначе говоря	4	2
120	а в	13	2
121	таким образом	3	2
122	если бы	3	2
123	к такой	2	2
124	а именно	2	2
125	заключается в	2	2
126	и что	3	2
127	другой стороны	5	2
128	с другими	5	2
129	на основе	2	2
130	или в	3	2
131	хотя и	3	2
132	могут быть	4	2
133	в этой	3	2
134	и то	2	2
135	по своей	3	2
136	как будто	2	2
137	далеко не	2	2
138	между собой	3	2
139	имеет в	2	2
