N	2gram	Vygotskiy__1	Poddanst
1	не только	13	17
2	и в	31	14
3	и не	16	12
4	в области	11	11
5	в этом	12	10
6	то же	5	9
7	в том	30	9
8	в качестве	2	9
9	но в	3	9
10	в то	5	7
11	только в	14	7
12	но и	2	6
13	было бы	6	6
14	с другой	5	5
15	не в	11	5
16	в которых	3	5
17	и о	4	5
18	может быть	22	5
19	в котором	4	4
20	то что	32	4
21	что в	23	4
22	если бы	6	4
23	в своем	3	4
24	не может	17	4
25	по себе	9	4
26	и к	3	4
27	а в	6	4
28	том что	16	4
29	и если	4	4
30	как бы	5	4
31	и потому	2	4
32	в нем	2	3
33	и т	26	3
34	с тем	3	3
35	и без	2	3
36	столь же	4	3
37	с одной	5	3
38	т е	3	3
39	прежде всего	4	3
40	заключается в	7	3
41	тем самым	2	3
42	для того	6	3
43	с точки	2	3
44	мы не	12	3
45	и как	2	3
46	исторического материализма	3	3
47	между тем	4	3
48	но не	3	3
49	могут быть	11	3
50	точки зрения	15	3
51	в себе	4	3
52	что мы	8	3
53	тот же	2	3
54	одной стороны	6	3
55	вслед за	6	3
56	потому что	10	3
57	хотя и	3	3
58	не менее	2	2
59	и тем	2	2
60	и есть	5	2
61	в частности	3	2
62	но к	3	2
63	отнюдь не	6	2
64	со стороны	4	2
65	в них	2	2
66	есть нечто	2	2
67	все это	8	2
68	как раз	2	2
69	с этим	3	2
70	в жизни	2	2
71	главным образом	2	2
72	и других	3	2
73	и вот	3	2
74	стороны и	3	2
75	а не	13	2
76	бы ни	2	2
77	того что	10	2
78	к чему	2	2
79	точек зрения	3	2
80	для нас	5	2
81	в ее	5	2
82	как на	3	2
83	есть не	2	2
84	в русском	2	2
85	есть в	7	2
86	одна из	4	2
87	в силу	3	2
88	не было	3	2
89	из них	2	2
90	например в	3	2
91	и это	3	2
92	никак не	4	2
93	в его	6	2
94	и с	2	2
