N	3gram	Vygotskiy__2	EvropaiE
1	с точки зрения	10	16
2	в то же	2	15
3	то же время	2	14
4	в отношении к	3	12
5	в том что	17	6
6	так же как	4	5
7	этой точки зрения	2	5
8	для того чтобы	13	5
9	само по себе	3	4
10	того или иного	2	4
11	бы то ни	2	4
12	можно было бы	4	3
13	заключает в себе	2	3
14	в этом отношении	5	3
15	во всяком случае	2	3
16	по сравнению с	2	2
17	в свою очередь	2	2
18	в данном случае	4	2
19	на то что	6	2
20	только в том	4	2
21	с другой стороны	2	2
22	заключается в том	10	2
23	не может быть	8	2
24	тому или иному	2	2
