N	2gram	Tiupa_Lite_1	OGranits
1	и в	8	13
2	и его	4	12
3	прежде всего	11	9
4	не может	5	8
5	и не	12	8
6	может быть	13	8
7	и т.п	4	7
8	точки зрения	6	7
9	эстетический объект	3	7
10	в его	7	7
11	таким образом	3	6
12	не только	24	6
13	то что	10	6
14	только в	8	6
15	как бы	7	6
16	все же	4	5
17	с точки	2	5
18	хотя бы	2	5
19	эстетического объекта	6	5
20	то же	5	4
21	не является	2	4
22	в своей	4	4
23	еще и	3	4
24	лишь в	4	4
25	было бы	2	4
26	в сознании	2	4
27	но в	3	4
28	отношению к	2	3
29	что в	3	3
30	никогда не	4	3
31	но и	17	3
32	так и	4	3
33	в их	3	3
34	по отношению	3	3
35	не как	4	3
36	превращается в	2	3
37	самом деле	2	3
38	да и	3	3
39	как и	6	3
40	не в	8	3
41	за пределы	2	3
42	и то	2	3
43	не столько	5	3
44	в пределах	3	3
45	в себе	7	3
46	в искусстве	2	3
47	общего с	2	3
48	еще в	4	2
49	не менее	7	2
50	и др	3	2
51	для себя	5	2
52	уже в	5	2
53	с этой	5	2
54	а как	2	2
55	и тем	4	2
56	в нем	2	2
57	в целом	8	2
58	своего рода	11	2
59	данном случае	4	2
60	а не	16	2
61	художественное произведение	2	2
62	с другой	3	2
63	от своего	2	2
64	замкнутого круга	2	2
65	не на	2	2
66	в связи	4	2
67	а в	3	2
68	с одной	2	2
69	все эти	2	2
70	роль в	2	2
71	к тому	2	2
72	как в	5	2
73	в том	16	2
74	не мог	3	2
75	том что	14	2
76	объект и	2	2
77	в своих	4	2
78	в данном	5	2
79	в этом	12	2
80	тем что	2	2
81	между тем	2	2
82	могут быть	2	2
83	при этом	19	2
84	нуждается в	3	2
85	для него	2	2
86	в другом	2	2
87	одной стороны	2	2
88	литературного произведения	4	2
89	несмотря на	3	2
90	в области	3	2
91	нет ничего	2	2
92	в самом	3	2
93	и является	2	2
94	а также	5	2
