N	2gram	Voloshinov_1	PoTuStor
1	может быть	14	17
2	и в	12	16
3	и пр	3	12
4	прежде всего	8	9
5	таким образом	12	9
6	и проч	3	9
7	в этом	4	9
8	мы можем	2	9
9	в психике	2	8
10	и его	13	8
11	и с	3	8
12	точки зрения	14	8
13	не может	16	8
14	с его	2	7
15	сказать что	7	7
16	не только	4	7
17	и к	4	6
18	с точки	2	6
19	самом деле	3	6
20	для него	3	6
21	при этом	6	6
22	конечно не	3	6
23	отношение к	4	5
24	все эти	3	5
25	в чем	2	5
26	ни в	3	5
27	нуждается в	3	5
28	еще не	3	5
29	как бы	13	5
30	в нем	6	4
31	отнюдь не	5	4
32	но и	3	4
33	так и	4	4
34	все это	3	4
35	хотя бы	5	4
36	и все	2	4
37	так как	9	4
38	и не	10	4
39	на самом	4	4
40	но мы	2	4
41	и ее	3	4
42	можно сказать	5	4
43	и наконец	3	4
44	и на	4	4
45	художественного творчества	3	4
46	только в	6	4
47	его в	4	4
48	но в	5	4
49	в его	2	4
50	и значение	2	3
51	в этих	2	3
52	что в	2	3
53	жизни и	4	3
54	и др	5	3
55	могут быть	2	3
56	вместе с	2	3
57	сих пор	3	3
58	те же	2	3
59	и притом	2	3
60	в том	6	3
61	том что	5	3
62	с другими	2	3
63	то что	5	3
64	только на	3	3
65	едва ли	2	3
66	как это	2	3
67	в основном	2	3
68	и потому	2	3
69	до сих	3	3
70	между ними	2	3
71	не менее	3	2
72	что и	2	2
73	не есть	2	2
74	ни было	4	2
75	в душе	2	2
76	как не	2	2
77	на границе	3	2
78	никогда не	5	2
79	что не	4	2
80	между собой	2	2
81	в них	3	2
82	оно не	2	2
83	с этой	2	2
84	и так	2	2
85	в жизни	5	2
86	то же	5	2
87	к этому	2	2
88	с помощью	6	2
89	мы не	3	2
90	что мы	5	2
91	можем сказать	2	2
92	и по	3	2
93	но зато	2	2
94	и для	3	2
95	для нас	7	2
96	как и	5	2
97	но отнюдь	2	2
98	так же	3	2
99	но это	2	2
100	он не	2	2
101	в каком	3	2
102	в пределах	3	2
103	и вообще	3	2
104	о том	3	2
105	в самом	4	2
106	за пределы	4	2
107	в своей	3	2
108	с ним	3	2
109	к ним	2	2
110	себя и	2	2
