N	2gram	Medvedev_V_1	Formalny
1	т е	18	34
2	и в	26	24
3	художественного произведения	6	23
4	в его	14	23
5	прежде всего	13	22
6	и не	19	20
7	так и	5	18
8	не может	17	16
9	точки зрения	3	16
10	в этом	26	15
11	в нем	6	14
12	может быть	22	14
13	таким образом	31	13
14	и т	23	12
15	в своем	8	11
16	не менее	2	11
17	как и	7	11
18	должно быть	2	11
19	в своей	4	11
20	в их	5	11
21	вовсе не	3	10
22	и ее	4	10
23	и их	3	10
24	то же	10	10
25	в ней	2	10
26	а не	7	10
27	и его	6	10
28	и потому	2	9
29	в процессе	16	9
30	все это	10	9
31	в то	6	9
32	идеологического творчества	2	9
33	произведения в	7	8
34	в ее	4	8
35	же время	5	8
36	именно в	2	8
37	то что	6	8
38	т д	14	8
39	лишь в	2	8
40	произведения и	7	8
41	не в	6	8
42	и от	3	7
43	в единстве	4	7
44	не только	25	7
45	жизни и	3	7
46	но и	10	7
47	отнюдь не	3	6
48	было бы	7	6
49	в том	15	6
50	в этой	4	6
51	более или	6	6
52	в пределах	5	6
53	она не	3	6
54	еще не	2	6
55	как бы	5	6
56	в целом	4	6
57	или менее	6	6
58	художественное произведение	5	6
59	а в	3	6
60	все эти	6	6
61	на основе	5	6
62	художественной структуры	2	6
63	как это	12	6
64	хотя бы	19	5
65	формы и	2	5
66	должен быть	4	5
67	по себе	2	5
68	в искусстве	6	5
69	у нас	2	5
70	и др	9	5
71	во всех	6	5
72	в самом	4	5
73	того что	3	5
74	должны быть	2	5
75	с другой	11	5
76	но в	2	5
77	с его	3	4
78	главным образом	7	4
79	в частности	11	4
80	никогда не	4	4
81	своем содержании	2	4
82	стороны и	2	4
83	с другими	2	4
84	и к	3	4
85	одной стороны	2	4
86	и может	2	4
87	если бы	3	4
88	отношению к	7	4
89	так же	3	4
90	по отношению	7	4
91	т п	9	4
92	в связи	3	4
93	что в	10	4
94	с одной	2	4
95	как на	3	4
96	в которой	2	4
97	как о	2	4
98	познания и	4	4
99	но не	2	3
100	всех этих	2	3
101	связи с	4	3
102	в них	4	3
103	в жизни	2	3
104	что он	4	3
105	к тому	4	3
106	художественном произведении	4	3
107	для него	8	3
108	это и	6	3
109	и как	3	3
110	зависимости от	5	3
111	и непосредственно	2	3
112	в каждом	2	3
113	так например	2	3
114	в общем	2	3
115	действительности и	7	3
116	на язык	2	3
117	не по	2	3
118	но для	2	3
119	не о	2	3
120	он не	2	3
121	в основном	5	3
122	один из	5	3
123	все же	5	3
124	же в	6	3
125	когда он	3	3
126	каждой из	2	3
127	отличается от	2	3
128	в особенности	2	3
129	не было	7	3
130	сводится к	3	3
131	и наконец	2	3
132	и даже	2	3
133	между ними	3	3
134	его в	3	3
135	у них	2	3
136	они не	2	3
137	в себе	6	3
138	в художественном	10	3
139	так сказать	2	3
140	бы в	3	3
141	в области	2	3
142	того или	2	2
143	а как	2	2
144	же как	2	2
145	с тем	3	2
146	в зависимости	6	2
147	это не	7	2
148	с этим	3	2
149	в одном	4	2
150	в системе	2	2
151	в году	6	2
152	том чтобы	2	2
153	и заключается	2	2
154	по существу	3	2
155	мы видели	3	2
156	в различных	2	2
157	одна из	4	2
158	только в	7	2
159	от того	2	2
160	как раз	3	2
161	только не	2	2
162	нет и	3	2
163	что и	3	2
164	у тургенева	3	2
165	вместе с	7	2
166	искусства не	2	2
167	во всей	2	2
168	чтобы не	2	2
169	не приходится	2	2
170	приводит к	5	2
171	этом процессе	2	2
172	в науке	2	2
173	ни одного	2	2
174	его не	3	2
175	в работе	3	2
176	в результате	5	2
177	между тем	5	2
178	чем же	4	2
179	даже и	3	2
180	в своих	2	2
181	данного произведения	3	2
182	действительности на	2	2
183	могло бы	2	2
184	произведения как	5	2
185	что такое	2	2
