N	2gram	Nazirov_Vr_1	Myshleni
1	то что	7	26
2	что он	4	25
3	в этом	8	25
4	таким образом	2	19
5	в том	3	18
6	не может	2	18
7	точки зрения	2	18
8	что в	7	16
9	и в	8	16
10	не только	9	16
11	так же	4	15
12	том что	3	15
13	и не	5	12
14	и что	8	12
15	отношение к	2	11
16	в его	3	11
17	может быть	4	9
18	с точки	2	9
19	о том	4	8
20	в известном	2	8
21	как и	6	8
22	он не	3	8
23	то же	5	8
24	же как	2	7
25	в нем	6	7
26	но он	3	7
27	в этой	2	6
28	но и	7	6
29	но в	6	6
30	у него	5	6
31	в той	2	6
32	никогда не	2	5
33	в своем	3	5
34	для него	2	5
35	как бы	4	5
36	в то	5	5
37	с ним	4	5
38	тем что	3	5
39	это не	4	4
40	в свою	2	4
41	при этом	4	4
42	тем более	2	4
43	еще не	2	4
44	вместе с	2	4
45	и то	2	4
46	не менее	2	3
47	мы знаем	2	3
48	и как	3	3
49	но это	2	3
50	но как	2	3
51	его и	2	3
52	а в	2	3
53	и с	6	3
54	между тем	5	3
55	к этому	3	3
56	все же	6	3
57	и его	3	3
58	связи с	3	3
59	ответ на	2	3
60	в чем	3	3
61	я не	3	2
62	что у	3	2
63	столь же	2	2
64	одним из	3	2
65	в ней	4	2
66	в виду	4	2
67	в котором	6	2
68	в своей	2	2
69	из них	2	2
70	все это	4	2
71	отношения к	2	2
72	и даже	6	2
73	на основе	2	2
74	к ним	2	2
75	в своих	4	2
76	в момент	2	2
77	в истории	4	2
78	их в	2	2
79	в этот	3	2
80	о чем	2	2
81	в них	2	2
82	его в	3	2
83	же в	2	2
84	что я	2	2
85	а с	2	2
86	о влиянии	2	2
87	его на	2	2
