N	2gram	Nazirov_Tv_1	EvropaiC
1	таким образом	5	32
2	в том	7	31
3	и в	21	24
4	том что	11	20
5	не может	4	18
6	то что	8	17
7	может быть	5	15
8	все же	5	15
9	в своем	4	12
10	самом деле	2	12
11	в этом	6	12
12	все это	10	11
13	как бы	17	10
14	из себя	2	10
15	так и	2	10
16	при этом	7	9
17	как и	12	9
18	того же	2	9
19	что в	12	9
20	не в	2	8
21	в самом	3	8
22	так же	3	8
23	и все	6	8
24	не менее	6	7
25	к тому	2	7
26	но и	3	7
27	и не	7	7
28	о котором	2	7
29	о том	6	7
30	что он	6	7
31	на самом	3	7
32	с другой	3	6
33	так что	2	6
34	в этой	5	6
35	того что	3	6
36	и на	7	6
37	так как	3	6
38	с ним	3	6
39	что и	2	6
40	в мире	4	6
41	только в	5	6
42	вместе с	2	6
43	именно в	2	5
44	и от	4	5
45	что все	3	5
46	у него	7	5
47	в целом	4	5
48	как к	2	5
49	и с	3	5
50	потому что	5	5
51	но в	7	5
52	к этому	2	5
53	из всех	4	5
54	в то	15	5
55	в его	13	5
56	не только	7	5
57	не будет	2	5
58	в себе	2	5
59	как будто	5	5
60	далеко не	3	5
61	в которой	3	5
62	никогда не	3	4
63	та же	4	4
64	тем не	2	4
65	что его	2	4
66	в дальнейшем	3	4
67	что как	2	4
68	ибо в	2	4
69	одним из	4	4
70	хотя и	3	4
71	из них	2	4
72	в их	3	4
73	не так	3	4
74	он не	8	4
75	то же	13	4
76	в в	2	4
77	и у	2	4
78	хотя бы	5	4
79	в виде	3	4
80	может не	2	3
81	в этих	2	3
82	представление о	3	3
83	ее и	2	3
84	в нем	3	3
85	данном случае	2	3
86	и других	3	3
87	и наконец	2	3
88	и по	3	3
89	а в	6	3
90	это не	4	3
91	во имя	2	3
92	настоящее время	2	3
93	при помощи	2	3
94	прежде всего	4	3
95	в жизни	2	3
96	и того	2	3
97	тот же	2	3
98	даже в	3	3
99	только что	2	3
100	на земле	3	3
101	в с	2	3
102	в данном	2	3
103	отличие от	2	3
104	не то	2	3
105	в частности	2	2
106	для него	6	2
107	такой же	2	2
108	между людьми	2	2
109	же время	12	2
110	в свою	7	2
111	в ней	2	2
112	но если	3	2
113	в виду	2	2
114	в котором	6	2
115	с ее	3	2
116	на том	2	2
117	что она	2	2
118	что для	2	2
119	в одно	2	2
120	и будет	2	2
121	для этой	2	2
122	в один	2	2
123	то есть	12	2
124	в основе	2	2
125	отнюдь не	5	2
126	гораздо более	2	2
127	вовсе не	5	2
128	а затем	2	2
129	то в	2	2
130	одна из	2	2
131	но не	3	2
132	жизни и	3	2
133	в ту	3	2
134	в себя	2	2
135	тем самым	7	2
136	ту же	3	2
137	не знает	2	2
