N	2gram	Berdyaev_N_1	Formalny
1	и в	16	24
2	прежде всего	4	22
3	и не	11	20
4	так и	2	18
5	и пр	3	17
6	не может	16	16
7	в этом	7	15
8	в нем	5	14
9	может быть	7	14
10	не менее	4	11
11	как и	7	11
12	должно быть	4	11
13	в своей	3	11
14	в ней	5	10
15	а не	17	10
16	и потому	4	9
17	все это	5	9
18	в то	2	9
19	в ее	3	8
20	то что	4	8
21	как в	3	8
22	лишь в	6	8
23	и на	2	8
24	не в	6	8
25	и с	2	8
26	место в	2	7
27	должна быть	3	7
28	и от	2	7
29	не только	5	7
30	с ее	5	7
31	жизни и	8	7
32	но и	3	7
33	и все	4	6
34	в том	8	6
35	она не	3	6
36	еще не	3	6
37	а в	2	6
38	все эти	2	6
39	как это	2	6
40	хотя бы	2	5
41	формы и	2	5
42	должен быть	5	5
43	во всех	3	5
44	с другой	3	5
45	но в	2	5
46	с его	6	4
47	никогда не	6	4
48	и к	5	4
49	в мире	3	4
50	для этого	2	4
51	одной стороны	2	4
52	конечно не	3	4
53	так же	2	4
54	что в	9	4
55	с одной	2	4
56	в истории	3	4
57	познания и	2	4
58	но не	2	3
59	перестает быть	4	3
60	в них	4	3
61	в жизни	5	3
62	к тому	3	3
63	это и	2	3
64	но это	6	3
65	но для	2	3
66	он не	8	3
67	бытия в	2	3
68	в россии	3	3
69	не было	4	3
70	культуры и	7	3
71	мы не	2	3
72	и даже	2	3
73	в основе	3	3
74	в себе	2	3
75	думать что	2	3
76	жизни не	3	2
77	же как	2	2
78	с тем	3	2
79	жизни в	3	2
80	это не	4	2
81	с этим	2	2
82	эпохи и	4	2
83	вопрос о	3	2
84	том чтобы	2	2
85	и заключается	2	2
86	все время	2	2
87	ни в	6	2
88	уже не	2	2
89	по существу	2	2
90	перейти к	3	2
91	одна из	2	2
92	в новое	3	2
93	за пределы	3	2
94	нет и	2	2
95	не есть	3	2
96	вместе с	2	2
97	не могла	2	2
98	и что	2	2
99	есть лишь	4	2
100	к новому	7	2
101	и это	2	2
102	и должно	2	2
103	мысли в	2	2
104	что такое	3	2
