N	2gram	Bakhtin_sl_2	RusskieA
1	и в	39	29
2	что в	3	22
3	том что	5	22
4	в том	5	22
5	как бы	7	18
6	и другие	2	14
7	может быть	37	13
8	так как	4	13
9	п в	2	12
10	как и	6	11
11	одна из	4	11
12	в этом	16	11
13	все это	16	10
14	и с	9	10
15	не только	24	10
16	о том	2	9
17	в некоторых	3	9
18	а в	4	9
19	или на	2	8
20	но и	21	8
21	его в	4	8
22	мы видели	2	7
23	как в	13	7
24	или в	2	7
25	мы не	2	6
26	этом случае	6	6
27	еще не	7	6
28	для того	2	6
29	для нас	5	6
30	вместе с	2	6
31	таким образом	8	6
32	при этом	7	6
33	того чтобы	2	6
34	и на	4	6
35	в данном	2	6
36	это не	5	5
37	то что	2	5
38	но не	6	5
39	для этого	4	5
40	и т	35	5
41	не может	20	5
42	т д	2	5
43	но в	6	5
44	именно в	2	4
45	в них	6	4
46	и все	5	4
47	не все	2	4
48	тогда когда	2	4
49	уже не	5	4
50	не в	9	4
51	этих случаях	2	4
52	к нему	3	4
53	а также	3	4
54	то же	4	4
55	на них	2	4
56	а не	14	4
57	в таком	4	4
58	в виде	2	4
59	далеко не	2	4
60	как это	3	4
61	на этом	3	3
62	и там	3	3
63	в этих	7	3
64	и других	4	3
65	и от	3	3
66	не всегда	2	3
67	как например	2	3
68	она не	6	3
69	до конца	17	3
70	с другими	4	3
71	во всех	12	3
72	а именно	2	3
73	в свете	3	3
74	в отличие	12	3
75	все эти	6	3
76	или даже	3	3
77	как мы	7	3
78	между тем	3	3
79	но он	2	3
80	отличие от	13	3
81	не менее	4	2
82	если она	3	2
83	связи с	3	2
84	могут быть	7	2
85	никогда не	7	2
86	связанные с	4	2
87	жизни в	2	2
88	с другой	5	2
89	не столько	3	2
90	прежде всего	8	2
91	как уже	2	2
92	не был	2	2
93	что и	3	2
94	к ней	2	2
95	это и	2	2
96	кроме того	2	2
97	и как	3	2
98	одним из	2	2
99	и при	2	2
100	чем в	2	2
101	здесь в	3	2
102	связано с	3	2
103	одной стороны	5	2
104	вокруг него	2	2
105	в него	7	2
106	один из	5	2
107	должен быть	2	2
108	но она	2	2
109	не с	3	2
110	все же	6	2
111	в форме	2	2
112	в их	2	2
113	где они	2	2
114	влияние на	2	2
115	того как	2	2
116	не было	2	2
117	с одной	5	2
118	там где	6	2
119	и для	5	2
120	так в	2	2
121	людей и	2	2
122	с этим	2	2
123	во всем	4	2
124	в то	4	2
125	в состав	3	2
