N	2gram	Vygotskiy__3	Otkroven
1	о человеке	2	29
2	у него	4	22
3	и в	38	19
4	но и	5	13
5	и не	10	13
6	в этом	13	12
7	а не	7	11
8	не в	12	11
9	может быть	19	11
10	не только	12	11
11	и все	10	10
12	в нем	4	10
13	никогда не	4	9
14	в самой	4	9
15	потому что	14	9
16	он был	3	8
17	но он	2	7
18	до конца	2	7
19	он не	6	7
20	в его	5	7
21	все это	3	6
22	как и	8	6
23	то что	35	5
24	до самого	2	5
25	а в	7	5
26	в том	25	5
27	человеке и	2	5
28	для него	2	5
29	в этой	13	5
30	в самом	25	5
31	того чтобы	9	4
32	что не	3	4
33	и его	6	4
34	все эти	4	4
35	не может	7	4
36	что в	20	4
37	не могут	2	3
38	в этих	2	3
39	и вот	2	3
40	что он	11	3
41	того что	4	3
42	для того	8	3
43	хотя бы	2	3
44	в своих	4	3
45	и ее	2	3
46	в себе	4	3
47	было бы	12	3
48	когда он	4	3
49	в русской	2	3
50	о том	6	3
51	с ним	2	3
52	как бы	14	3
53	все же	8	2
54	что и	4	2
55	ее в	4	2
56	он в	2	2
57	и для	4	2
58	с тем	8	2
59	в истории	2	2
60	в своем	5	2
61	что у	7	2
62	что же	2	2
63	как к	2	2
64	что все	3	2
65	к этому	3	2
66	и к	3	2
67	и очень	2	2
68	не имеет	6	2
69	в ее	7	2
70	самого конца	2	2
71	в которой	5	2
72	том что	14	2
73	так что	8	2
74	своей жизни	2	2
75	в другом	5	2
76	и на	6	2
77	и то	8	2
78	из всего	2	2
79	что они	4	2
80	сказать что	4	2
81	совсем не	3	2
82	тем что	3	2
83	одно из	2	2
84	его в	3	2
85	должен был	2	2
86	в своей	5	2
87	так как	6	2
88	и о	3	2
89	к этой	2	2
90	ничего не	2	2
91	не могли	4	2
92	к ней	2	2
93	но в	3	2
