N	2gram	Vinokur_St_3	Tragedij
1	и в	25	18
2	в году	5	9
3	в этом	24	9
4	не только	12	8
5	и не	10	7
6	и на	6	7
7	и с	4	7
8	может быть	19	7
9	как бы	6	7
10	что он	19	6
11	и его	3	6
12	же время	3	6
13	у него	9	6
14	но в	5	6
15	все же	4	5
16	что это	16	5
17	так и	5	5
18	это не	7	5
19	не может	7	5
20	то же	5	5
21	как и	4	5
22	в то	7	5
23	несмотря на	3	5
24	но и	9	4
25	то что	12	4
26	в целом	4	4
27	что в	19	4
28	все это	8	4
29	прежде всего	10	4
30	том что	15	4
31	но это	4	4
32	в этой	14	4
33	что я	3	4
34	и что	3	4
35	еще не	2	4
36	этот образ	2	4
37	об этом	5	4
38	уже в	3	3
39	один из	2	3
40	с ее	2	3
41	в конце	6	3
42	как в	6	3
43	все эти	3	3
44	к нему	4	3
45	в его	12	3
46	для него	3	3
47	своего рода	3	3
48	то есть	2	3
49	это был	2	2
50	не имеет	2	2
51	не был	2	2
52	но они	2	2
53	и за	2	2
54	писателя и	3	2
55	то и	2	2
56	по мнению	3	2
57	что все	3	2
58	а как	4	2
59	не просто	2	2
60	уже не	3	2
61	с его	3	2
62	отношение к	4	2
63	говорит что	5	2
64	к тому	2	2
65	не так	3	2
66	и здесь	3	2
67	ни в	5	2
68	он был	3	2
69	в том	20	2
70	до конца	3	2
71	но все	2	2
72	так что	11	2
73	не в	6	2
74	что этот	3	2
75	в русском	2	2
76	в рассказе	3	2
77	одна из	2	2
78	потому что	5	2
79	с тем	4	2
80	тем что	19	2
81	в виде	3	2
82	он и	2	2
83	и ее	2	2
84	в это	2	2
85	о том	8	2
86	что эти	4	2
87	и это	5	2
88	нет в	3	2
89	в самом	2	2
90	не мог	2	2
91	для искусства	2	2
92	ничего не	4	2
93	он не	5	2
94	никогда не	2	2
