N	2gram	Bakhtin_Pr_2	RusskieA
1	и в	45	36
2	не только	16	22
3	что в	6	19
4	том что	7	19
5	в том	8	17
6	но и	15	16
7	так как	5	15
8	и другие	4	13
9	в этом	20	12
10	это не	3	10
11	в xix	2	10
12	как мы	8	10
13	как и	14	10
14	и на	7	10
15	потому что	8	10
16	об этом	3	9
17	а в	3	9
18	у нас	2	8
19	из них	9	8
20	может быть	18	8
21	один из	2	8
22	и по	2	8
23	о том	3	8
24	как это	2	8
25	что они	3	7
26	что и	5	7
27	так и	3	7
28	и других	3	7
29	и не	42	6
30	при этом	2	6
31	в них	4	6
32	уже не	6	6
33	таким образом	11	6
34	все это	5	6
35	не имеет	3	6
36	то что	5	6
37	все же	4	5
38	как бы	15	5
39	и у	2	5
40	с ними	4	5
41	как в	4	5
42	того как	3	5
43	к этому	4	4
44	одна из	3	4
45	еще не	9	4
46	не совсем	2	4
47	и др	4	4
48	его с	2	4
49	во всех	4	4
50	в некоторых	2	4
51	и их	6	4
52	в их	4	4
53	не может	24	4
54	входит в	9	4
55	а с	3	4
56	мы имеем	2	4
57	и что	2	4
58	того что	3	4
59	но это	2	4
60	тем что	2	4
61	только в	9	4
62	слова в	4	3
63	не менее	2	3
64	для них	3	3
65	в этих	4	3
66	в своем	5	3
67	но все	4	3
68	таким же	2	3
69	в одном	6	3
70	представление о	2	3
71	от них	2	3
72	и к	2	3
73	к ним	3	3
74	то же	5	3
75	и некоторые	2	3
76	с точки	9	3
77	так же	5	3
78	ничего не	3	3
79	их в	7	3
80	их и	3	3
81	точки зрения	19	3
82	то есть	50	3
83	далеко не	4	3
84	этого слова	2	3
85	в области	2	3
86	не было	2	2
87	и более	2	2
88	могут быть	4	2
89	в нашем	2	2
90	его и	3	2
91	что у	4	2
92	только для	2	2
93	и потому	6	2
94	в каждом	4	2
95	в образе	3	2
96	в нем	20	2
97	у него	6	2
98	в жизни	3	2
99	так что	2	2
100	и как	2	2
101	в дальнейшем	2	2
102	мы видим	2	2
103	но не	6	2
104	они и	2	2
105	в большинстве	2	2
106	до конца	7	2
107	она не	5	2
108	например в	2	2
109	в ней	7	2
110	в его	22	2
111	не значит	2	2
112	друг к	3	2
113	и с	7	2
114	в целом	5	2
115	как не	5	2
116	к другу	3	2
117	к нам	2	2
118	и до	4	2
119	что она	4	2
120	находится в	2	2
121	за счет	2	2
122	для этого	3	2
123	не на	4	2
124	в особенности	2	2
125	все эти	4	2
126	них в	2	2
127	а не	10	2
128	и пр	2	2
129	и для	2	2
130	и другими	2	2
131	с ним	8	2
132	или в	2	2
133	в своих	4	2
134	этот вопрос	4	2
135	мы можем	4	2
136	хотя и	2	2
137	себя и	2	2
138	и здесь	2	2
139	но в	6	2
140	ничего общего	2	2
141	мы должны	4	2
142	как он	4	2
143	там где	6	2
144	большинстве случаев	2	2
