N	2gram	Tiupa_Disk_2	Vladivir
1	и в	16	30
2	то что	5	20
3	в этом	16	20
4	в том	8	18
5	и не	15	18
6	и с	2	14
7	что он	2	13
8	том что	10	12
9	что в	5	12
10	там же	2	12
11	не только	10	12
12	в его	3	11
13	а в	2	11
14	а также	8	10
15	не было	3	10
16	не в	3	9
17	для него	5	9
18	все же	6	9
19	потому что	4	9
20	не может	9	9
21	в то	5	9
22	в своем	5	8
23	вместе с	2	8
24	но и	11	8
25	что же	2	8
26	но в	11	8
27	не менее	7	7
28	никогда не	2	7
29	точки зрения	4	7
30	и все	3	7
31	ни в	7	7
32	может быть	16	7
33	а не	14	7
34	то есть	12	7
35	к этому	4	6
36	прежде всего	7	6
37	только в	3	6
38	в себе	19	6
39	жизни и	3	6
40	и его	3	6
41	также и	3	6
42	о чем	2	6
43	и то	4	5
44	же касается	2	5
45	как и	16	5
46	при этом	17	5
47	того же	2	5
48	в своей	6	5
49	как бы	4	5
50	в котором	3	5
51	для себя	2	5
52	так и	9	5
53	все это	2	5
54	в результате	2	5
55	все эти	3	5
56	содержит в	2	4
57	с его	6	4
58	именно в	2	4
59	его в	3	4
60	можно сказать	3	4
61	в этой	4	4
62	в целом	2	4
63	в ней	2	4
64	он не	3	4
65	в нем	7	4
66	в этих	3	4
67	время в	2	4
68	со стороны	10	4
69	то же	6	4
70	и наконец	3	4
71	той же	2	4
72	и на	5	4
73	но это	3	4
74	о том	4	4
75	здесь не	2	4
76	отношение к	2	4
77	в них	3	3
78	из этих	3	3
79	это в	2	3
80	же время	5	3
81	что и	2	3
82	и как	3	3
83	но не	7	3
84	в данном	7	3
85	и для	2	3
86	с точки	2	3
87	как в	8	3
88	в отличие	12	3
89	уже не	3	3
90	должно быть	2	3
91	отличие от	12	3
92	не столько	3	3
93	я в	5	3
94	и это	2	3
95	дело в	2	3
96	в области	2	3
97	еще в	3	2
98	жизни в	3	2
99	это не	3	2
100	бытия и	2	2
101	здесь в	3	2
102	на первый	2	2
103	а к	2	2
104	и может	3	2
105	такого рода	9	2
106	в частности	12	2
107	некоторого рода	2	2
108	но уже	2	2
109	себя в	6	2
110	можно назвать	4	2
111	с ней	2	2
112	данном случае	6	2
113	не на	2	2
114	стремится к	2	2
115	в той	2	2
116	и прежде	2	2
117	в своих	6	2
118	их в	2	2
119	не о	2	2
120	тут же	2	2
121	к его	4	2
122	того и	2	2
123	как будто	3	2
124	или по	2	2
125	я и	4	2
