N	2gram	Tiupa_Disk_1	Poddanst
1	не только	28	17
2	и в	16	14
3	и не	11	12
4	в этом	15	10
5	то же	7	9
6	в том	23	9
7	в качестве	34	9
8	но в	8	9
9	хотя бы	3	8
10	в пределах	2	8
11	же время	4	7
12	в то	3	7
13	только в	7	7
14	но и	14	6
15	с другой	10	5
16	не в	7	5
17	в которых	4	5
18	и о	4	5
19	может быть	17	5
20	в котором	5	4
21	то что	5	4
22	что в	4	4
23	в своем	6	4
24	не может	9	4
25	по себе	3	4
26	и к	4	4
27	а в	5	4
28	том что	19	4
29	а также	8	4
30	как бы	5	4
31	и потому	3	4
32	сами по	2	3
33	в нем	9	3
34	и без	2	3
35	столь же	3	3
36	это не	3	3
37	с одной	9	3
38	прежде всего	11	3
39	заключается в	3	3
40	сводится к	5	3
41	и как	6	3
42	между тем	4	3
43	но не	11	3
44	могут быть	4	3
45	точки зрения	3	3
46	в себе	7	3
47	одной стороны	9	3
48	ей в	2	3
49	потому что	4	3
50	хотя и	2	3
51	не менее	2	2
52	том числе	2	2
53	и тем	2	2
54	именно в	3	2
55	и есть	2	2
56	во всех	5	2
57	в частности	9	2
58	отнюдь не	8	2
59	в е	2	2
60	со стороны	7	2
61	в них	4	2
62	отношения к	2	2
63	с этим	3	2
64	может и	2	2
65	стороны и	2	2
66	было в	2	2
67	в значительной	2	2
68	а не	22	2
69	того что	3	2
70	в ее	3	2
71	есть в	2	2
72	в силу	5	2
73	не было	7	2
74	в начале	2	2
75	из них	3	2
76	более чем	2	2
77	например в	2	2
78	в ряду	2	2
79	в его	7	2
80	каждый в	2	2
