N	2gram	Trubetskoy_1	Problemy
1	и в	26	35
2	как бы	12	31
3	и не	8	27
4	что он	4	24
5	в его	5	21
6	но в	7	19
7	не может	4	18
8	в нем	4	16
9	то есть	4	16
10	то же	4	15
11	и все	2	15
12	но и	9	14
13	для него	3	14
14	может быть	10	14
15	все это	6	14
16	в этом	15	14
17	к нему	7	13
18	он не	4	13
19	прежде всего	2	12
20	и с	10	12
21	и к	5	12
22	в то	4	11
23	не в	2	10
24	же время	2	10
25	не только	10	10
26	то что	7	10
27	в отношении	6	9
28	самого начала	2	8
29	так и	6	8
30	с самого	3	8
31	потому что	7	8
32	все же	6	8
33	и для	5	8
34	лишь в	5	7
35	так же	5	7
36	а в	4	7
37	и наконец	2	7
38	точки зрения	13	7
39	с его	2	7
40	еще не	2	7
41	отношению к	3	7
42	в виде	4	7
43	таким образом	22	7
44	что в	9	6
45	к тому	6	6
46	и что	4	6
47	отношение к	5	6
48	в самом	4	6
49	и на	2	6
50	в одном	3	6
51	но не	8	6
52	только в	4	6
53	в конце	6	5
54	в том	11	5
55	так что	3	5
56	и даже	3	5
57	во время	4	5
58	в себе	6	5
59	и это	2	5
60	никогда не	5	4
61	с другой	8	4
62	или иной	2	4
63	в мире	5	4
64	но все	7	4
65	друг с	5	4
66	всяком случае	6	4
67	между тем	2	4
68	в эту	2	4
69	той или	2	4
70	так как	9	4
71	в них	2	4
72	так чтобы	2	4
73	по своему	2	4
74	тот же	2	4
75	наконец в	2	4
76	а не	5	4
77	и у	8	4
78	во всяком	6	4
79	он в	2	4
80	с другом	5	4
81	что это	3	4
82	за собой	3	3
83	уже в	2	3
84	то ни	2	3
85	и от	4	3
86	ни было	2	3
87	тому же	5	3
88	в общем	8	3
89	в виду	2	3
90	бы то	2	3
91	из них	7	3
92	все эти	6	3
93	того что	3	3
94	сказать что	2	3
95	в начале	2	3
96	мы должны	6	3
97	а так	3	3
98	в котором	4	3
99	с тем	18	3
100	не как	2	3
101	том что	7	3
102	к концу	3	3
103	со всеми	2	3
104	во всех	2	3
105	конце концов	3	3
106	что и	6	3
107	когда он	3	3
108	к другу	2	3
109	только что	2	3
110	а с	7	3
111	уже не	3	3
112	и т.д	6	3
113	не менее	3	2
114	в этих	4	2
115	для этого	2	2
116	с этой	3	2
117	и мир	2	2
118	что все	4	2
119	уже с	3	2
120	при этом	3	2
121	на нее	3	2
122	мы видели	2	2
123	в своем	3	2
124	что оно	4	2
125	те же	2	2
126	и по	4	2
127	особенно в	2	2
128	друг на	2	2
129	в которых	4	2
130	на друга	2	2
131	по своей	2	2
132	о том	6	2
133	иной характер	2	2
134	надо было	2	2
135	должна была	2	2
136	ли это	2	2
137	одной из	5	2
138	конечно не	2	2
139	благодаря этому	2	2
140	вместе с	15	2
141	быть и	2	2
142	приводит к	2	2
143	на этот	4	2
144	и как	3	2
145	хотя бы	3	2
146	с точки	6	2
147	в которой	3	2
148	с другими	4	2
149	связан с	2	2
150	мы можем	2	2
151	из этого	2	2
152	этими двумя	2	2
