N	2gram	Vygotskiy__4	VelikijI
1	и не	8	20
2	и в	20	16
3	то что	15	9
4	так как	10	9
5	еще не	2	8
6	в истории	10	8
7	что они	14	7
8	а не	7	7
9	не есть	2	6
10	как бы	7	5
11	но и	9	5
12	того что	10	5
13	по пути	2	5
14	что все	3	4
15	что он	6	4
16	в нем	2	4
17	как и	9	4
18	что мы	7	4
19	так и	5	4
20	потому что	12	4
21	в этом	24	4
22	в ней	2	4
23	в его	11	4
24	если не	2	3
25	должна быть	2	3
26	что в	19	3
27	в этих	3	3
28	ни в	3	3
29	в том	42	3
30	не в	4	3
31	в вопросе	2	3
32	тот же	9	3
33	к тому	6	3
34	никогда не	5	3
35	этих трех	2	3
36	что и	9	3
37	в своей	7	3
38	тому что	4	3
39	и что	8	3
40	не имеет	2	3
41	и для	4	3
42	должно быть	3	3
43	их в	2	3
44	все эти	5	3
45	в чем	3	3
46	но в	3	3
47	не могут	3	2
48	с тем	6	2
49	это не	5	2
50	прежде всего	2	2
51	его к	4	2
52	под этим	2	2
53	для нас	4	2
54	том что	35	2
55	мы и	2	2
56	но не	3	2
57	которой они	2	2
58	это мы	2	2
59	для него	2	2
60	того чтобы	7	2
61	вслед за	2	2
62	и во	3	2
63	не только	15	2
64	один из	3	2
65	вопросе о	2	2
66	на том	4	2
67	и тогда	2	2
68	а с	2	2
69	тем что	7	2
70	а в	2	2
71	можно было	6	2
72	и то	10	2
73	между тем	9	2
74	является в	3	2
75	могут быть	7	2
76	самого себя	2	2
77	только в	10	2
78	и это	2	2
79	во всяком	4	2
80	которые не	2	2
