N	2gram	Nazirov_Vr_1	StatiiOP
1	и в	8	29
2	том что	3	27
3	в том	3	27
4	в этом	8	21
5	но и	7	19
6	что в	7	19
7	не только	9	19
8	о том	4	17
9	что он	4	13
10	в его	3	13
11	то что	7	11
12	все это	4	11
13	таким образом	2	10
14	т е	3	10
15	в своем	3	9
16	и не	5	9
17	он не	3	9
18	как раз	2	8
19	письме к	4	8
20	но в	6	8
21	в ней	4	7
22	в виду	4	7
23	в котором	6	7
24	я не	3	7
25	в своей	2	7
26	вместе с	2	7
27	об этом	5	6
28	одним из	3	6
29	все же	6	6
30	и что	8	6
31	и его	3	6
32	в письме	5	5
33	о чем	2	5
34	в той	2	5
35	как бы	4	5
36	между тем	5	5
37	точки зрения	2	5
38	в русской	3	5
39	речь идет	3	4
40	что у	3	4
41	к этому	3	4
42	в романе	6	4
43	для него	2	4
44	и о	3	4
45	в нем	6	4
46	при помощи	2	4
47	связи с	3	4
48	и с	6	4
49	в известном	2	3
50	не менее	2	3
51	же как	2	3
52	давно уже	3	3
53	но он	3	3
54	с нею	2	3
55	не мог	2	3
56	но это	2	3
57	в начале	6	3
58	никогда не	2	3
59	и даже	6	3
60	года в	7	3
61	из них	2	3
62	а с	2	3
63	не было	5	3
64	тем что	3	3
65	в году	18	3
66	и он	2	3
67	так же	4	3
68	он писал	2	3
69	в россии	5	3
70	в эту	2	3
71	во многом	4	2
72	во время	2	2
73	с его	3	2
74	в роман	2	2
75	в них	2	2
76	в конце	3	2
77	он был	3	2
78	как и	6	2
79	и как	3	2
80	в этой	2	2
81	что я	2	2
82	в истории	4	2
83	в то	5	2
84	в письмах	2	2
85	в это	2	2
86	раз в	3	2
87	несмотря на	4	2
88	может быть	4	2
89	очень хорошо	2	2
90	том же	2	2
91	а также	2	2
92	на то	3	2
93	это письмо	2	2
94	не может	2	2
95	тогда как	2	2
96	то же	5	2
97	при этом	4	2
98	письмо к	2	2
99	с точки	2	2
100	эти слова	3	2
101	в себе	2	2
102	на это	2	2
103	в период	2	2
104	его в	3	2
105	и это	2	2
