N	2gram	Medvedev_F_3	KFilosof
1	может быть	25	43
2	в его	7	39
3	в нем	15	31
4	не может	24	27
5	и не	30	26
6	по отношению	3	25
7	и в	27	22
8	в котором	2	21
9	отношению к	3	21
10	в себе	3	21
11	не есть	4	19
12	в ее	4	17
13	а не	17	17
14	и его	19	17
15	только в	8	16
16	точки зрения	16	13
17	в этом	18	13
18	ни в	8	12
19	но не	5	12
20	и это	2	12
21	все эти	6	11
22	в своей	6	11
23	не в	12	11
24	в своем	2	10
25	это не	3	10
26	все это	7	10
27	во всех	3	10
28	с точки	14	10
29	в целом	4	9
30	но и	10	9
31	как бы	8	9
32	и все	8	9
33	и для	6	9
34	лишь в	9	8
35	если бы	12	8
36	было бы	6	8
37	жизни и	4	8
38	со стороны	4	8
39	в единстве	5	7
40	вовсе не	28	7
41	конечно не	4	7
42	должен быть	2	7
43	что и	2	7
44	то что	8	7
45	быть только	2	7
46	в смысле	4	6
47	в том	7	6
48	но это	2	6
49	смысл и	4	6
50	и только	2	6
51	и действительно	2	6
52	отнюдь не	8	6
53	совершенно не	7	6
54	и их	5	6
55	не значит	2	6
56	уже не	3	6
57	менее всего	4	6
58	отвлечении от	2	6
59	никогда не	5	5
60	хотя бы	6	5
61	ее и	2	5
62	но эта	2	5
63	то же	15	5
64	в отвлечении	2	5
65	от его	3	5
66	и содержание	2	5
67	в основе	3	5
68	но ведь	4	5
69	его в	7	5
70	но в	6	5
71	жизни в	3	5
72	как и	14	5
73	не только	9	5
74	все же	6	5
75	там где	7	5
76	место в	10	4
77	что в	8	4
78	входит в	8	4
79	ни было	5	4
80	для нас	3	4
81	при этом	8	4
82	в своих	6	4
83	между тем	7	4
84	бы быть	2	4
85	нисколько не	2	4
86	не как	2	4
87	том что	4	4
88	о нем	3	4
89	как его	9	4
90	в каком	2	4
91	познания и	2	4
92	бы и	3	3
93	независимо от	5	3
94	должна быть	3	3
95	что это	3	3
96	не менее	7	3
97	в каждом	5	3
98	лишь как	3	3
99	до конца	4	3
100	и пр	15	3
101	нем и	2	3
102	в виду	3	3
103	был бы	2	3
104	и тем	3	3
105	в корне	4	3
106	от того	2	3
107	того что	3	3
108	и на	3	3
109	в ней	5	3
110	в то	7	3
111	о том	4	3
112	мы не	4	3
113	всех этих	2	3
114	сознания и	2	3
115	тогда когда	4	3
116	этом смысле	2	3
117	ясно что	3	3
118	это единство	3	3
119	данный момент	2	3
120	от него	2	3
121	еще не	6	3
122	нет и	3	3
123	в единство	2	3
124	бы не	2	3
125	на самом	14	3
126	самом деле	16	3
127	для того	4	3
128	что этот	2	3
129	тем что	5	3
130	могут быть	4	3
131	здесь не	2	3
132	ничего не	2	3
133	смысла и	4	2
134	или иное	2	2
135	где она	2	2
136	его и	3	2
137	то ни	4	2
138	прежде всего	4	2
139	вследствие этого	3	2
140	содержание и	2	2
141	или иной	2	2
142	тем не	2	2
143	войти в	5	2
144	и как	4	2
145	совсем не	5	2
146	же время	7	2
147	он может	2	2
148	свершения в	2	2
149	его осуществления	3	2
150	ценностный центр	4	2
151	но для	2	2
152	не о	3	2
153	в него	3	2
154	по себе	4	2
155	тому что	3	2
156	для этого	2	2
157	содержания и	4	2
158	именно на	2	2
159	действительности в	3	2
160	потому что	7	2
161	может иметь	2	2
162	он и	3	2
163	говорить о	2	2
164	с его	2	2
165	с тем	7	2
166	из нее	2	2
167	раз и	3	2
168	в жизни	11	2
169	к этому	2	2
170	что он	6	2
171	оценки и	6	2
172	бы то	4	2
173	кажется что	2	2
174	и потому	5	2
175	этого слова	2	2
176	дело не	2	2
177	оно не	3	2
178	лишь с	2	2
179	и именно	2	2
180	в процессе	15	2
181	так и	21	2
182	как в	4	2
183	вытекает из	2	2
184	дело с	3	2
185	это только	2	2
186	это и	2	2
187	чтобы не	2	2
188	сводится к	5	2
189	того чтобы	5	2
190	и эта	3	2
191	то или	2	2
192	жизнь и	3	2
193	в данном	6	2
194	это можно	2	2
195	от этого	2	2
196	единства и	3	2
197	в этой	2	2
198	видения и	4	2
199	дело в	2	2
200	в области	2	2
201	и навсегда	3	2
