N	3gram	Vinokur_Vv_1	Formalny
1	с точки зрения	2	14
2	не может быть	8	14
3	то же время	5	7
4	в то же	5	7
5	и т д	37	6
6	во всяком случае	3	6
7	и т п	5	5
8	с другой стороны	5	5
9	в данном случае	4	4
10	в самом деле	5	4
11	в связи с	2	4
12	для того чтобы	21	4
13	то же самое	2	3
14	в этом отношении	3	3
15	и не могут	2	3
16	вместе с тем	3	3
17	в том что	12	3
18	по отношению к	4	3
19	потому что он	2	3
20	смысле этого слова	2	2
21	дело в том	2	2
22	вовсе не в	2	2
23	тем не менее	8	2
24	в отличие от	3	2
25	в конце концов	2	2
26	как мы видели	2	2
27	в этом смысле	10	2
