N	2gram	Losev_Prob_4	Myshleni
1	точки зрения	14	26
2	таким образом	8	26
3	в том	20	24
4	и в	20	23
5	том что	12	21
6	с точки	11	18
7	того чтобы	2	17
8	то что	15	17
9	в этом	9	17
10	так же	5	16
11	не только	24	16
12	для того	3	15
13	что в	3	14
14	может быть	9	14
15	но и	14	14
16	как и	6	14
17	в его	3	14
18	не может	5	12
19	как бы	4	11
20	сказать что	7	11
21	и мышления	3	11
22	с другой	7	10
23	прежде всего	11	10
24	в отношении	4	10
25	в качестве	10	9
26	не является	10	9
27	другой стороны	6	9
28	и не	28	9
29	и с	7	9
30	вместе с	5	9
31	заключается в	2	8
32	и на	3	8
33	то же	7	8
34	в этой	4	7
35	в самом	2	7
36	в то	4	7
37	так как	5	7
38	с тем	4	7
39	что он	8	7
40	мы не	7	7
41	и ее	4	7
42	в другом	3	7
43	все время	2	6
44	независимо от	3	6
45	столь же	2	6
46	и тем	7	6
47	все это	9	6
48	именно в	7	6
49	потому что	15	6
50	с этим	4	6
51	о том	5	6
52	и его	10	6
53	мы можем	3	6
54	тем что	3	6
55	в себе	12	6
56	только в	23	6
57	учения о	2	6
58	в какой	4	5
59	перед нами	13	5
60	то время	2	5
61	можно сказать	5	5
62	и как	3	5
63	по себе	11	5
64	для этого	2	5
65	что мы	3	5
66	мы должны	3	5
67	и все	8	5
68	если бы	8	5
69	но в	8	5
70	и более	3	5
71	между собой	2	5
72	представить себе	2	5
73	и что	2	5
74	он не	2	5
75	так и	10	5
76	как мы	3	5
77	тем самым	4	5
78	тем более	4	5
79	из этого	3	5
80	но не	5	4
81	только что	2	4
82	не в	13	4
83	при этом	6	4
84	что она	4	4
85	время как	2	4
86	в котором	2	4
87	все эти	16	4
88	в результате	8	4
89	в настоящей	2	4
90	с его	2	4
91	для всех	3	4
92	в одном	4	4
93	и к	3	4
94	в чем	2	4
95	было бы	14	4
96	к тому	3	4
97	для себя	2	4
98	в своей	4	4
99	как в	5	4
100	как раз	4	4
101	говорит что	2	4
102	хотя бы	7	4
103	функции в	2	4
104	ни в	17	4
105	в самых	3	3
106	только для	3	3
107	уже в	4	3
108	что это	2	3
109	в своем	3	3
110	и от	6	3
111	на все	2	3
112	что именно	2	3
113	что они	2	3
114	смысле слова	15	3
115	том чтобы	2	3
116	и если	5	3
117	мы хотели	2	3
118	то и	5	3
119	хотели бы	2	3
120	мы находим	2	3
121	вовсе не	21	3
122	приходит к	2	3
123	во всем	2	3
124	же самое	6	3
125	всяком случае	4	3
126	сознания и	3	3
127	об этом	6	3
128	учение о	3	3
129	во всех	4	3
130	все же	2	3
131	если не	3	3
132	самом деле	3	3
133	а не	7	3
134	из которых	3	3
135	можно было	4	3
136	и то	2	3
137	во всяком	8	3
138	сам по	6	3
139	в каком	6	3
140	связи с	3	3
141	и это	2	3
142	в которой	2	3
143	в области	3	3
144	за собой	2	2
145	в частности	2	2
146	в нашем	12	2
147	или даже	4	2
148	в конце	2	2
149	в смысле	5	2
150	является для	3	2
151	что его	4	2
152	в зависимости	3	2
153	но все	3	2
154	для него	3	2
155	несмотря на	4	2
156	хотя и	5	2
157	действительность в	2	2
158	какой мере	4	2
159	не имеет	4	2
160	что перед	2	2
161	не к	2	2
162	жизни и	5	2
163	данном случае	5	2
164	и наконец	4	2
165	и даже	9	2
166	действия и	2	2
167	бы и	3	2
168	а в	4	2
169	к его	3	2
170	говорить о	2	2
171	но этот	2	2
172	в этих	5	2
173	как это	3	2
174	в известном	2	2
175	всех этих	6	2
176	в них	5	2
177	он как	3	2
178	с собой	3	2
179	ясно что	7	2
180	есть не	6	2
181	в ее	5	2
182	в значительной	2	2
183	зависимости от	3	2
184	указывает на	4	2
185	со всеми	2	2
186	себе и	3	2
187	настоящей работе	2	2
188	за пределы	2	2
189	и потому	7	2
190	без этого	3	2
191	с ней	2	2
192	мы только	2	2
193	если мы	5	2
194	уже не	5	2
195	почти всегда	2	2
196	с другими	3	2
197	в данном	6	2
198	можно назвать	2	2
199	в виде	22	2
200	дело в	2	2
201	едва ли	10	2
202	не могли	2	2
