N	2gram	Savitsky_E_1	Myslijsy
1	то есть	6	34
2	потому что	3	33
3	то что	6	29
4	может быть	6	26
5	таким образом	2	24
6	в том	11	23
7	и в	37	23
8	в этом	12	23
9	и не	14	18
10	что в	21	17
11	только в	9	15
12	для нас	4	14
13	как и	7	14
14	в себе	9	14
15	то же	15	14
16	того что	7	14
17	так как	7	14
18	если бы	2	13
19	том что	6	12
20	а не	2	12
21	по себе	4	11
22	но и	14	11
23	не в	5	11
24	не может	9	11
25	и потому	5	10
26	не только	18	10
27	тем что	3	10
28	мы можем	3	10
29	не есть	2	9
30	между тем	8	9
31	в своем	14	8
32	было бы	8	8
33	тогда когда	2	8
34	заключает в	3	8
35	мы не	4	8
36	сказать что	4	8
37	о том	3	8
38	но в	14	8
39	с тем	3	7
40	что это	2	7
41	на то	6	7
42	что и	3	7
43	в силу	2	7
44	и что	2	7
45	очевидно что	3	7
46	вовсе не	6	7
47	могут быть	2	7
48	как в	3	7
49	с этим	2	7
50	что если	2	6
51	независимо от	4	6
52	и к	3	6
53	для того	6	6
54	вместе с	2	6
55	заметить что	2	6
56	так и	10	6
57	само по	4	5
58	не можем	2	5
59	и мы	3	5
60	хотя и	2	5
61	в его	2	5
62	как бы	6	5
63	к нему	2	5
64	бы и	3	5
65	что же	2	5
66	а в	2	5
67	не из	3	5
68	во всяком	3	5
69	тем более	4	5
70	и то	2	5
71	есть в	2	5
72	не имеет	4	5
73	думать что	8	4
74	и более	2	4
75	и та	2	4
76	и все	2	4
77	что все	2	4
78	есть не	2	4
79	как же	2	4
80	можно сказать	4	4
81	в одном	2	4
82	в котором	2	4
83	и тем	3	4
84	новое слово	3	4
85	между ними	2	4
86	на основании	2	4
87	а именно	2	4
88	в истории	2	4
89	в той	5	4
90	тем самым	5	4
91	того чтобы	6	4
92	хотя бы	15	4
93	так же	9	4
94	с другими	2	4
95	в таком	3	4
96	точки зрения	23	4
97	в каком	4	4
98	в данном	3	4
99	в то	16	4
100	и с	2	4
101	при помощи	2	3
102	себе в	3	3
103	все более	9	3
104	к которым	5	3
105	никогда не	3	3
106	в этих	2	3
107	в них	3	3
108	в смысле	9	3
109	именно в	4	3
110	не будет	3	3
111	же время	14	3
112	и если	2	3
113	к тому	8	3
114	в самом	4	3
115	между прочим	7	3
116	известной степени	3	3
117	всяком случае	3	3
118	в процессе	4	3
119	со стороны	5	3
120	и таким	2	3
121	и только	3	3
122	и других	2	3
123	более чем	2	3
124	и по	5	3
125	которое в	2	3
126	и на	6	3
127	этот вопрос	2	3
128	в которых	3	3
129	то в	4	3
130	с точки	17	3
131	что эти	2	3
132	там где	3	3
133	можно считать	3	2
134	не могут	2	2
135	течением времени	2	2
136	с и	10	2
137	в другой	2	2
138	и как	2	2
139	но даже	4	2
140	по признаку	3	2
141	столь же	5	2
142	с другой	7	2
143	вопрос о	4	2
144	для понимания	2	2
145	что на	2	2
146	в ее	8	2
147	чем в	4	2
148	по своему	7	2
149	уже и	3	2
150	в большинстве	2	2
151	чем больше	2	2
152	в свою	3	2
153	не нужно	2	2
154	одна и	2	2
155	она не	2	2
156	рано или	2	2
157	или поздно	2	2
158	к ним	3	2
159	в ней	4	2
160	он не	2	2
161	с течением	2	2
162	даже в	4	2
163	как оно	2	2
164	нам кажется	7	2
165	в мире	2	2
166	данном случае	2	2
167	отношений между	2	2
168	и прежде	3	2
169	мы видим	2	2
170	происходит в	2	2
171	и для	3	2
172	относятся к	2	2
173	в течение	5	2
174	еще более	2	2
175	как мы	5	2
176	на этот	2	2
177	и даже	6	2
178	и притом	4	2
179	можем сказать	2	2
180	в других	2	2
181	во многих	4	2
182	можно было	3	2
183	в своих	2	2
184	можно думать	3	2
185	и чем	2	2
186	бы ни	3	2
187	в виде	5	2
188	к ней	4	2
189	нужно иметь	2	2
190	влияние на	2	2
191	бы в	2	2
192	мы должны	2	2
193	одном из	2	2
194	большинстве случаев	3	2
195	в области	11	2
196	например с	2	2
197	имеет в	2	2
