N	2gram	Tiupa_Anal_3	RusskieA
1	и в	18	29
2	что в	9	22
3	том что	12	22
4	в том	9	22
5	как бы	10	18
6	состоит в	4	15
7	может быть	9	13
8	как и	14	11
9	одна из	2	11
10	в этом	14	11
11	все это	3	10
12	не только	22	10
13	о том	6	9
14	а в	10	9
15	но и	13	8
16	а а	5	8
17	его в	3	8
18	данном случае	3	7
19	как в	3	7
20	с тем	2	6
21	мы не	3	6
22	же в	2	6
23	еще не	6	6
24	вместе с	2	6
25	таким образом	4	6
26	при этом	11	6
27	и на	4	6
28	в данном	4	6
29	мы имеем	5	6
30	это не	2	5
31	к этому	3	5
32	то что	2	5
33	но не	7	5
34	к жизни	3	5
35	не может	2	5
36	но в	2	5
37	именно в	3	4
38	о чем	4	4
39	в них	2	4
40	и все	2	4
41	уже не	5	4
42	не в	6	4
43	а также	2	4
44	то же	3	4
45	а не	9	4
46	далеко не	4	4
47	как это	3	4
48	что по	4	4
49	тем что	2	3
50	в качестве	12	3
51	и от	2	3
52	не всегда	3	3
53	в году	3	3
54	в ее	3	3
55	было бы	3	3
56	что она	2	3
57	во всех	2	3
58	связь с	2	3
59	в отличие	2	3
60	все эти	2	3
61	и по	2	3
62	тому как	2	3
63	между тем	5	3
64	подобно тому	3	3
65	в этой	6	3
66	отличие от	2	3
67	не менее	4	2
68	об этом	2	2
69	могут быть	2	2
70	никогда не	5	2
71	с другой	7	2
72	к числу	2	2
73	не столько	3	2
74	из этих	3	2
75	прежде всего	5	2
76	совершенно очевидно	2	2
77	как уже	2	2
78	что и	5	2
79	говорит о	2	2
80	это и	2	2
81	и как	4	2
82	очевидно что	2	2
83	в глаза	2	2
84	одной стороны	2	2
85	на эту	2	2
86	совершенно не	2	2
87	тем не	2	2
88	один из	2	2
89	не с	2	2
90	все же	4	2
91	дело не	3	2
92	в форме	2	2
93	в их	6	2
94	а и	4	2
95	тогда как	20	2
96	не было	3	2
97	с одной	2	2
98	там где	2	2
99	и для	2	2
100	после чего	2	2
101	жизнь и	3	2
102	так в	3	2
103	пока еще	3	2
104	в момент	2	2
105	и е	3	2
106	с этим	3	2
107	на себя	2	2
108	и ее	2	2
109	во всем	3	2
110	в то	3	2
111	представляет собой	5	2
112	когда мы	2	2
