N	3gram	Vinokur_St_2	Psycholo
1	для того чтобы	5	19
2	в том что	16	12
3	о том что	11	10
4	в самом деле	2	7
5	на то что	2	6
6	с самого начала	3	5
7	к тому что	5	5
8	с точки зрения	2	4
9	что он не	4	4
10	как раз в	2	4
11	то что он	2	3
12	так же как	3	3
13	том что он	5	3
14	и в этом	2	3
15	и т п	3	3
16	во всяком случае	3	3
17	за то что	2	3
18	до сих пор	5	3
19	то что в	2	3
20	сами по себе	2	3
21	вместе с тем	5	2
22	и т д	6	2
23	с другой стороны	3	2
24	в своей трагедии	4	2
25	в это время	2	2
26	к тому же	2	2
27	не только не	2	2
28	только что в	2	2
29	речь идет о	3	2
