N	3gram	Vinokur_Ku_1	StatiiOP
1	в том что	15	11
2	и т п	18	6
3	то обстоятельство что	8	5
4	не может быть	3	5
5	с другой стороны	6	4
6	по крайней мере	5	4
7	в этом отношении	5	4
8	во всяком случае	5	4
9	с точки зрения	9	4
10	в этом смысле	3	4
11	о том что	5	4
12	то же время	2	3
13	в связи с	3	3
14	состоит в том	3	3
15	на то что	2	3
16	в то же	2	3
17	не в том	4	3
18	в ряде случаев	2	2
19	к тому что	2	2
20	но все же	2	2
21	до сих пор	4	2
22	в том чтобы	8	2
23	и т д	14	2
24	а с другой	3	2
25	тем не менее	4	2
26	заключается в том	2	2
