N	2gram	Tiupa_Narr_2	Formalny
1	и в	13	24
2	в его	6	23
3	прежде всего	6	22
4	и не	14	20
5	так и	9	18
6	не может	8	16
7	точки зрения	5	16
8	в этом	13	15
9	в нем	5	14
10	может быть	10	14
11	с точки	2	13
12	таким образом	5	13
13	и т	2	12
14	в своем	6	11
15	не менее	4	11
16	как и	4	11
17	в своей	4	11
18	вовсе не	2	10
19	то же	4	10
20	в ней	2	10
21	а не	17	10
22	и его	3	10
23	в процессе	2	9
24	в то	5	9
25	в ее	4	8
26	же время	3	8
27	именно в	2	8
28	в свою	2	8
29	то что	8	8
30	как в	5	8
31	не в	8	8
32	место в	5	7
33	должна быть	2	7
34	не только	26	7
35	жизни и	4	7
36	но и	15	7
37	на самом	2	7
38	отнюдь не	4	6
39	и все	4	6
40	и здесь	2	6
41	было бы	2	6
42	в том	14	6
43	в этой	4	6
44	самом деле	3	6
45	еще не	2	6
46	как бы	6	6
47	в целом	3	6
48	а в	9	6
49	все эти	3	6
50	как это	4	6
51	хотя бы	2	5
52	в литературе	4	5
53	у нас	2	5
54	при этом	14	5
55	только на	2	5
56	не могло	2	5
57	в самом	2	5
58	со стороны	6	5
59	того что	6	5
60	с другой	5	5
61	но в	6	5
62	с его	3	4
63	в частности	11	4
64	никогда не	6	4
65	и к	6	4
66	в мире	4	4
67	одной стороны	5	4
68	если бы	4	4
69	оно не	2	4
70	отношению к	5	4
71	так же	2	4
72	по отношению	5	4
73	т п	2	4
74	что в	4	4
75	с одной	5	4
76	как на	2	4
77	с этой	3	4
78	как о	2	4
79	но не	3	3
80	и читатель	2	3
81	в жизни	6	3
82	или иного	3	3
83	что он	5	3
84	к тому	9	3
85	для него	4	3
86	но это	2	3
87	со всеми	2	3
88	но для	2	3
89	он не	5	3
90	один из	3	3
91	все же	6	3
92	же в	4	3
93	бытия в	2	3
94	на фоне	2	3
95	сводится к	9	3
96	мы не	2	3
97	тем самым	5	3
98	и даже	3	3
99	они не	2	3
100	в себе	8	3
101	как к	3	3
102	здесь не	2	3
103	так сказать	3	3
104	бы в	2	3
105	в области	2	3
106	того или	3	2
107	а как	3	2
108	к миру	2	2
109	вступает в	2	2
110	в душе	2	2
111	и более	2	2
112	же как	2	2
113	в нашем	2	2
114	жизни в	6	2
115	это не	3	2
116	не сводится	7	2
117	в строгом	2	2
118	уже не	4	2
119	гуманитарных науках	2	2
120	одна из	3	2
121	только в	11	2
122	к ней	3	2
123	как раз	3	2
124	в него	2	2
125	только не	2	2
126	однако не	2	2
127	что и	2	2
128	начала и	2	2
129	на него	5	2
130	и что	2	2
131	или иначе	2	2
132	для других	3	2
133	в самую	2	2
134	в результате	2	2
135	между тем	3	2
136	в своих	2	2
137	к которому	2	2
138	ничего не	6	2
139	с ним	4	2
140	могло бы	2	2
141	мира в	4	2
