N	2gram	Voloshinov_1	DiskursI
1	в себе	4	19
2	при этом	7	17
3	в качестве	2	16
4	и в	15	16
5	может быть	13	16
6	как и	6	16
7	в этом	13	16
8	и не	16	15
9	а не	2	14
10	и т.п	2	12
11	но и	4	11
12	но в	9	11
13	том что	5	10
14	не только	5	10
15	со стороны	2	10
16	так и	10	9
17	не может	13	9
18	в том	4	8
19	как в	3	8
20	не менее	3	7
21	прежде всего	11	7
22	в нем	4	7
23	ни в	6	7
24	но не	5	7
25	в данном	3	7
26	с его	8	6
27	отнюдь не	2	6
28	себя в	2	6
29	еще не	7	6
30	все же	5	6
31	в своей	9	6
32	данном случае	3	6
33	то же	7	6
34	в своих	4	6
35	что в	6	5
36	в своем	2	5
37	же время	5	5
38	для него	5	5
39	то что	10	5
40	и на	3	5
41	в то	6	5
42	в одном	3	4
43	к этому	7	4
44	как бы	11	4
45	отношению к	9	4
46	по отношению	11	4
47	этом отношении	2	4
48	человека в	3	4
49	в период	5	4
50	роль в	6	4
51	потому что	4	4
52	в основе	3	4
53	одно из	3	4
54	точки зрения	13	4
55	в этой	5	4
56	и то	2	4
57	не является	3	4
58	я и	6	4
59	жизни в	3	3
60	и может	4	3
61	могут быть	6	3
62	в этих	2	3
63	это не	2	3
64	из этих	4	3
65	и все	4	3
66	уже не	5	3
67	не в	4	3
68	можно сказать	4	3
69	он не	4	3
70	в его	9	3
71	жизни и	5	3
72	и ее	3	3
73	приводит к	2	3
74	не было	4	3
75	все эти	9	3
76	внутренней речи	3	3
77	и наконец	10	3
78	как на	3	3
79	и его	15	3
80	но это	2	3
81	не знает	3	3
82	только в	6	3
83	не следует	2	3
84	жизни но	2	3
85	его в	8	3
86	никогда не	7	2
87	в большинстве	4	2
88	в целом	2	2
89	что он	8	2
90	отношение к	7	2
91	с их	3	2
92	из важнейших	2	2
93	в ней	5	2
94	далеко не	4	2
95	на почве	2	2
96	что и	2	2
97	с ее	3	2
98	с точки	10	2
99	время в	2	2
100	вместе с	4	2
101	что же	4	2
102	и прежде	5	2
103	именно в	3	2
104	чем не	2	2
105	в себя	5	2
106	сводится к	3	2
107	все это	5	2
108	и для	2	2
109	должно быть	2	2
110	а в	6	2
111	той же	2	2
112	их в	2	2
113	и с	7	2
114	себя с	3	2
115	реальности и	2	2
116	дело в	2	2
117	в области	3	2
118	между тем	2	2
