N	2gram	Bakhtin_fo_2	KulturaY
1	и т	14	33
2	в том	10	30
3	и в	46	24
4	потому что	8	23
5	том что	4	21
6	т п	11	18
7	что в	5	17
8	того чтобы	8	17
9	для того	8	16
10	и пр	2	15
11	было бы	2	15
12	т д	3	14
13	в этом	22	14
14	точки зрения	10	14
15	может быть	7	13
16	все же	6	12
17	таким образом	3	12
18	в его	8	12
19	и не	9	12
20	не в	9	11
21	только в	11	11
22	вовсе не	13	10
23	у нас	2	10
24	не только	11	10
25	то что	7	9
26	прежде всего	14	9
27	того что	3	9
28	с точки	8	9
29	о том	4	9
30	так как	6	9
31	то же	8	8
32	уже не	3	8
33	а не	4	8
34	тем что	3	8
35	в них	7	7
36	с другой	2	7
37	связи с	8	7
38	в качестве	3	7
39	как бы	10	7
40	вместе с	9	7
41	не может	2	7
42	с помощью	3	7
43	это не	2	7
44	так и	7	7
45	именно в	2	6
46	что он	3	6
47	при этом	6	6
48	но и	9	6
49	все это	6	6
50	все эти	5	6
51	в которых	3	6
52	мы имеем	2	6
53	с тем	2	5
54	к тому	3	5
55	но не	5	5
56	еще не	6	5
57	целый ряд	3	5
58	этом отношении	2	5
59	в виду	3	5
60	в той	2	5
61	а в	3	5
62	и его	12	5
63	рядом с	2	5
64	во всяком	2	5
65	так сказать	7	5
66	с ним	4	5
67	и с	6	5
68	в частности	5	4
69	в этих	3	4
70	к себе	4	4
71	и потому	2	4
72	в нем	5	4
73	же в	4	4
74	по существу	5	4
75	что они	4	4
76	того же	3	4
77	в пределах	5	4
78	из них	8	4
79	один из	2	4
80	что и	3	4
81	сих пор	2	4
82	до сих	2	4
83	как в	4	4
84	не на	3	4
85	с этим	5	4
86	в самой	2	4
87	так что	4	4
88	так же	2	4
89	роль в	3	4
90	и на	7	4
91	в данном	2	4
92	из этих	4	4
93	слова и	3	4
94	там где	2	4
95	уже в	4	3
96	как на	2	3
97	если не	2	3
98	представление о	2	3
99	в духе	2	3
100	или иной	2	3
101	можно сказать	2	3
102	в этой	2	3
103	в сущности	2	3
104	в котором	4	3
105	в истории	4	3
106	в своем	5	3
107	в связи	8	3
108	в особенности	6	3
109	не было	3	3
110	в их	3	3
111	и даже	3	3
112	и он	4	3
113	должно быть	5	3
114	хотя и	3	3
115	в себе	4	3
116	здесь не	2	3
117	как это	2	3
118	в одном	7	3
119	том как	3	3
120	и более	2	2
121	до того	2	2
122	о чем	3	2
123	и есть	2	2
124	никогда не	6	2
125	с этой	4	2
126	не является	3	2
127	и все	6	2
128	что все	2	2
129	значение и	4	2
130	что было	3	2
131	по себе	2	2
132	в смысле	5	2
133	в то	5	2
134	этом случае	2	2
135	как и	8	2
136	и как	3	2
137	как история	2	2
138	а на	2	2
139	в большинстве	3	2
140	в последнем	2	2
141	же время	4	2
142	тот же	3	2
143	в это	3	2
144	конечно не	4	2
145	том же	4	2
146	каждом из	2	2
147	значения в	2	2
148	если в	2	2
149	тем более	3	2
150	ее в	3	2
151	и было	4	2
152	он не	5	2
153	и для	9	2
154	и становится	2	2
155	не мог	2	2
156	лишь в	2	2
157	между ними	2	2
158	мы наблюдаем	3	2
159	также и	4	2
160	от этого	2	2
161	во все	2	2
162	большое значение	2	2
163	до конца	2	2
164	и должно	2	2
165	но в	10	2
