N	2gram	Tiupa_Teor_1	KulturaY
1	и в	18	23
2	точки зрения	9	23
3	в том	16	22
4	не только	16	17
5	в этом	8	16
6	с точки	3	16
7	в области	4	14
8	может быть	17	14
9	что в	9	13
10	в самом	4	13
11	не менее	4	12
12	потому что	3	12
13	том что	9	11
14	а не	9	11
15	того что	4	11
16	в его	6	11
17	у нас	2	10
18	и не	13	10
19	прежде всего	2	9
20	тем не	3	9
21	еще не	4	9
22	таким образом	3	9
23	если бы	3	8
24	лишь в	6	8
25	уже не	4	8
26	в виду	5	8
27	в нашем	4	7
28	с другой	7	7
29	или иной	4	7
30	если мы	2	7
31	на фоне	2	7
32	и что	3	7
33	в данном	8	7
34	сказать что	3	7
35	все эти	2	7
36	как это	8	7
37	языка в	4	6
38	что и	2	6
39	при этом	12	6
40	и тем	3	6
41	так и	10	6
42	в их	2	6
43	не может	4	6
44	то же	7	6
45	могут быть	4	6
46	говорить о	3	6
47	только в	6	6
48	в рамках	7	5
49	я не	2	5
50	не могут	2	5
51	вовсе не	3	5
52	как и	4	5
53	не в	7	5
54	хотя и	3	5
55	что она	2	5
56	как бы	5	5
57	а в	13	5
58	из этих	3	5
59	в поэзии	2	5
60	далеко не	2	5
61	в первом	2	5
62	слова в	2	4
63	тому что	2	4
64	один из	2	4
65	этого слова	3	4
66	а также	6	4
67	в целом	3	4
68	того же	3	4
69	одной стороны	2	4
70	не случайно	5	4
71	столь же	2	4
72	в своей	6	4
73	и о	4	4
74	в ее	5	4
75	то что	3	4
76	данном случае	5	4
77	как в	5	4
78	как раз	2	4
79	в своем	4	4
80	с одной	2	4
81	в той	2	4
82	заключается в	2	4
83	тем самым	4	4
84	в слове	3	4
85	между тем	5	4
86	отнюдь не	3	3
87	это не	2	3
88	именно в	3	3
89	или иного	3	3
90	к тому	2	3
91	и к	3	3
92	в отношении	3	3
93	ни в	2	3
94	то в	2	3
95	но не	9	3
96	по преимуществу	4	3
97	в какой	2	3
98	он не	3	3
99	отношение к	5	3
100	но и	9	3
101	а именно	2	3
102	по отношению	4	3
103	другой стороны	5	3
104	а с	3	3
105	и вот	3	3
106	в то	6	3
107	я в	16	3
108	в структуре	2	3
109	того или	3	3
110	я и	2	3
111	том числе	2	2
112	все это	2	2
113	в частности	16	2
114	может оказаться	2	2
115	одного и	3	2
116	в одном	2	2
117	можно сказать	3	2
118	к его	2	2
119	и здесь	2	2
120	состоит в	17	2
121	и того	3	2
122	и как	2	2
123	более или	2	2
124	по своему	2	2
125	тот или	2	2
126	или иным	3	2
127	в качестве	24	2
128	мог бы	3	2
129	за пределы	2	2
130	может служить	2	2
131	иначе говоря	4	2
132	слова как	3	2
133	чем это	2	2
134	однако в	7	2
135	его в	2	2
136	не все	3	2
137	не с	3	2
138	отношению к	4	2
139	в пределах	5	2
140	своего рода	7	2
141	вместе с	2	2
142	дело не	2	2
143	речи а	2	2
144	понятие о	2	2
145	или менее	2	2
146	отличается от	2	2
147	к такой	2	2
148	так в	4	2
149	в отличие	6	2
150	как к	2	2
151	следует подчеркнуть	2	2
152	так же	2	2
153	на себя	2	2
154	с другими	5	2
155	не знает	3	2
156	в этих	3	2
157	отличие от	6	2
158	мы имеем	7	2
159	и способности	2	2
160	но в	9	2
161	для меня	2	2
162	имеет в	2	2
