N	2gram	Bakhtin_Pr_5	Psycholo
1	то что	10	44
2	и в	35	33
3	в этом	14	28
4	как бы	31	25
5	и что	6	25
6	все время	4	24
7	потому что	8	24
8	может быть	14	22
9	том что	3	22
10	что в	6	21
11	в том	5	21
12	о том	2	20
13	что он	24	20
14	только что	3	15
15	что это	4	13
16	таким образом	7	13
17	и не	27	13
18	так же	7	13
19	сказать что	3	13
20	то есть	16	13
21	все это	14	13
22	к тому	6	12
23	в самом	6	12
24	и все	15	12
25	так как	4	12
26	было бы	3	12
27	самом деле	10	12
28	что все	2	11
29	он не	13	11
30	не может	18	10
31	в его	21	10
32	по себе	4	9
33	как раз	4	9
34	то же	15	9
35	в конце	5	8
36	для этого	2	8
37	вместе с	2	8
38	в рассказе	2	8
39	как будто	4	8
40	в своем	2	7
41	до конца	4	7
42	так что	5	7
43	в нем	16	7
44	раз в	2	7
45	не только	10	7
46	когда он	3	7
47	показать что	2	7
48	тому что	2	6
49	это не	3	6
50	что они	6	6
51	в ней	2	6
52	все эти	3	6
53	и вот	4	6
54	но он	4	6
55	точки зрения	7	6
56	во время	5	6
57	у него	4	6
58	мы должны	3	6
59	в сущности	14	6
60	на самом	9	6
61	а не	4	6
62	в себе	5	6
63	самого начала	8	5
64	никогда не	4	5
65	с самого	8	5
66	и как	2	5
67	в целом	3	5
68	и на	6	5
69	вовсе не	7	5
70	как он	2	5
71	с ним	7	5
72	мы можем	2	5
73	с этим	3	5
74	это и	3	5
75	как и	18	5
76	мы уже	8	5
77	и его	14	5
78	все же	8	5
79	и это	5	5
80	из этого	2	5
81	как все	2	4
82	я не	8	4
83	что у	6	4
84	это в	2	4
85	друг с	4	4
86	из них	3	4
87	а в	7	4
88	не просто	2	4
89	того что	3	4
90	с этой	2	4
91	с тем	3	4
92	и так	4	4
93	в жизни	2	4
94	о нем	2	4
95	говорит о	2	4
96	себя в	2	4
97	в своей	4	4
98	на него	5	4
99	как мы	8	4
100	что не	4	4
101	с точки	2	4
102	той же	2	4
103	можно было	2	4
104	жизнь и	2	4
105	с другом	4	4
106	только в	6	4
107	слова и	11	4
108	в которой	2	4
109	это было	2	4
110	и вдруг	3	3
111	в сторону	2	3
112	что оно	2	3
113	и говорит	3	3
114	он все	2	3
115	в мире	4	3
116	ни в	2	3
117	что его	2	3
118	тому же	3	3
119	тот же	4	3
120	должно быть	3	3
121	на этом	2	3
122	в пределах	11	3
123	например в	2	3
124	всяком случае	4	3
125	с ее	3	3
126	но и	14	3
127	конечно не	2	3
128	понятно что	2	3
129	тому чтобы	2	3
130	увидим что	2	3
131	эпизод с	2	3
132	в которых	2	3
133	их в	2	3
134	в то	11	3
135	его в	4	3
136	та же	4	3
137	нет ни	2	3
138	вот как	4	3
139	всех этих	2	3
140	смысле этого	2	3
141	бы его	3	3
142	в одном	6	3
143	говорить о	3	3
144	но не	6	3
145	здесь в	2	3
146	ли это	2	3
147	конце концов	3	3
148	и этот	2	3
149	что и	3	3
150	рассказа в	10	3
151	так и	8	3
152	как в	5	3
153	да и	5	3
154	и он	2	3
155	и для	8	3
156	во всяком	4	3
157	тем что	4	3
158	в виде	7	3
159	эти слова	3	3
160	этого слова	5	3
161	в той	4	3
162	на этот	2	3
163	уже в	3	2
164	бы и	2	2
165	его и	3	2
166	столь же	2	2
167	с другой	4	2
168	в одной	3	2
169	и от	3	2
170	прежде всего	12	2
171	вопрос о	2	2
172	в такой	4	2
173	уже с	2	2
174	одна и	2	2
175	мы знаем	2	2
176	они действительно	2	2
177	без всякого	2	2
178	но все	4	2
179	из его	2	2
180	такой же	3	2
181	знает что	3	2
182	времени и	2	2
183	это кажется	2	2
184	же время	10	2
185	всю жизнь	2	2
186	при этом	2	2
187	и кажется	2	2
188	и та	2	2
189	себе и	7	2
190	в виду	3	2
191	в котором	3	2
192	о них	2	2
193	другой стороны	3	2
194	те же	2	2
195	признания и	3	2
196	и наконец	7	2
197	есть только	2	2
198	время как	2	2
199	и с	12	2
200	во всем	4	2
201	не в	10	2
202	на нее	2	2
203	бы не	2	2
204	слово в	2	2
205	но в	19	2
206	сам по	2	2
207	а как	2	2
208	с его	7	2
209	в них	4	2
210	лежит в	2	2
211	на тему	2	2
212	надо было	2	2
213	и к	12	2
214	в ее	3	2
215	мы увидим	2	2
216	кажется что	2	2
217	почему же	2	2
218	во всех	3	2
219	даже в	5	2
220	бы то	3	2
221	с таким	2	2
222	всего романа	2	2
223	тему о	2	2
224	к самому	5	2
225	мне не	2	2
226	он знает	3	2
227	а с	3	2
228	сводится к	3	2
229	ни одного	9	2
230	хотя бы	2	2
231	слов в	3	2
232	тому как	2	2
233	и то	5	2
234	между двумя	2	2
235	ни на	2	2
236	так вот	3	2
237	много раз	2	2
238	так чтобы	4	2
239	героя и	10	2
240	только с	3	2
241	ничего не	3	2
