N	2gram	Propp_Isto_4	Psycholo
1	то что	16	44
2	и в	26	33
3	в этом	7	28
4	как бы	3	25
5	и что	5	25
6	потому что	6	24
7	может быть	14	22
8	том что	3	22
9	что в	14	21
10	в том	3	21
11	о том	4	20
12	что он	10	20
13	только что	3	15
14	как это	3	14
15	что это	2	13
16	таким образом	10	13
17	и не	9	13
18	так же	18	13
19	сказать что	2	13
20	все это	2	13
21	и все	2	12
22	так как	9	12
23	было бы	2	12
24	он не	7	11
25	на то	3	10
26	говорит что	2	10
27	что она	3	10
28	не может	6	10
29	в его	5	10
30	если бы	2	10
31	в этой	2	9
32	и если	3	9
33	по себе	2	9
34	то же	8	9
35	совершенно ясно	2	8
36	вместе с	6	8
37	в своем	2	7
38	для нас	3	7
39	так что	2	7
40	в нем	2	7
41	и только	5	7
42	не только	15	7
43	когда он	6	7
44	перед нами	3	6
45	это не	5	6
46	что они	6	6
47	и т	27	6
48	все эти	3	6
49	и вот	2	6
50	но он	4	6
51	что мы	3	6
52	же самое	2	6
53	во время	7	6
54	у него	5	6
55	мы видим	6	6
56	мы должны	5	6
57	а не	6	6
58	в себе	2	6
59	что эта	3	6
60	никогда не	2	5
61	и как	5	5
62	в целом	2	5
63	и на	2	5
64	вовсе не	4	5
65	как он	6	5
66	мы можем	6	5
67	с этим	2	5
68	связь с	12	5
69	это и	5	5
70	как и	7	5
71	мы уже	5	5
72	и его	10	5
73	все же	9	5
74	и есть	2	4
75	в частности	2	4
76	что у	3	4
77	так например	2	4
78	из них	2	4
79	а в	8	4
80	и других	3	4
81	не просто	4	4
82	того что	2	4
83	с этой	2	4
84	знаем что	7	4
85	при помощи	10	4
86	с тем	2	4
87	к этому	5	4
88	об этом	7	4
89	у нас	2	4
90	одна из	2	4
91	говорит о	2	4
92	себя в	2	4
93	в своей	4	4
94	на него	3	4
95	как мы	5	4
96	этот вопрос	2	4
97	этот материал	2	4
98	только в	3	4
99	же как	13	3
100	точно так	5	3
101	ни в	2	3
102	на этом	2	3
103	например в	3	3
104	ни одной	2	3
105	то это	5	3
106	и за	2	3
107	но и	12	3
108	конечно не	2	3
109	здесь мы	2	3
110	увидим что	2	3
111	совершенно одинаково	2	3
112	в которых	4	3
113	их в	7	3
114	и здесь	5	3
115	во все	2	3
116	его в	9	3
117	могло бы	2	3
118	том как	2	3
119	вот как	2	3
120	должен был	3	3
121	смысле этого	2	3
122	бы мы	2	3
123	в одном	5	3
124	но не	5	3
125	к своей	3	3
126	указывает на	4	3
127	до сих	5	3
128	она не	3	3
129	он говорит	2	3
130	что и	9	3
131	сих пор	5	3
132	так и	10	3
133	как в	7	3
134	из которых	5	3
135	и он	3	3
136	к этой	3	3
137	что этот	4	3
138	тем что	5	3
139	в виде	2	3
140	этого слова	2	3
141	на этот	2	3
142	уже в	2	2
143	его и	2	2
144	с другой	4	2
145	основана на	2	2
146	в одной	3	2
147	из этих	3	2
148	вопрос о	4	2
149	в тех	4	2
150	мы знаем	8	2
151	но все	5	2
152	при этом	3	2
153	но мы	3	2
154	с той	2	2
155	другой стороны	4	2
156	т д	24	2
157	те же	3	2
158	не имеет	3	2
159	есть только	3	2
160	можно найти	2	2
161	и с	5	2
162	во всем	3	2
163	не в	5	2
164	мы читаем	2	2
165	мы имеем	7	2
166	но в	5	2
167	что ни	3	2
168	а как	2	2
169	он может	2	2
170	видим что	2	2
171	по существу	3	2
172	представляет собой	2	2
173	чтобы он	2	2
174	а на	4	2
175	мы увидим	3	2
176	большей частью	3	2
177	не по	2	2
178	даже в	4	2
179	не на	3	2
180	хотя бы	2	2
181	и то	6	2
182	между двумя	12	2
183	в руки	3	2
184	только одна	2	2
185	связи с	3	2
186	в русской	3	2
187	только с	2	2
188	ничего не	5	2
