N	2gram	Losev_Prob_5	FransuaR
1	и в	30	40
2	то есть	21	18
3	и его	6	17
4	прежде всего	6	16
5	в этом	17	15
6	не только	18	13
7	и не	12	13
8	в его	12	13
9	что в	5	12
10	вовсе не	8	12
11	как и	7	11
12	но и	13	11
13	таким образом	13	10
14	как мы	2	10
15	в них	2	9
16	и все	9	9
17	может быть	7	9
18	он не	3	9
19	отношение к	2	8
20	в том	12	8
21	и до	2	8
22	у него	11	8
23	все эти	2	8
24	в эпоху	3	8
25	и с	5	8
26	и на	6	8
27	но в	9	8
28	в своем	11	7
29	в одном	3	7
30	в духе	3	7
31	этот образ	2	7
32	до нас	7	7
33	то же	2	7
34	он и	5	7
35	в виду	3	7
36	к этому	2	6
37	в самом	5	6
38	в своей	22	6
39	связи с	7	6
40	в то	4	6
41	он говорит	2	6
42	в году	5	5
43	со всеми	2	5
44	как раз	5	5
45	в нем	6	5
46	то что	18	5
47	в связи	7	5
48	а не	5	5
49	и для	6	5
50	у нас	7	4
51	том что	17	4
52	страха и	2	4
53	смысле слова	3	4
54	здесь в	2	4
55	до сих	2	4
56	было бы	4	4
57	в заключение	2	4
58	в ней	3	4
59	из них	2	4
60	а также	3	4
61	ни в	4	4
62	один из	2	4
63	жизни и	2	4
64	сих пор	2	4
65	еще более	3	4
66	о том	12	4
67	и о	5	4
68	в данном	2	4
69	того чтобы	2	4
70	и даже	14	4
71	из всех	2	4
72	также и	12	4
73	так как	6	4
74	в области	2	4
75	том числе	2	3
76	только для	2	3
77	поэтому и	2	3
78	в частности	4	3
79	я вас	2	3
80	и к	4	3
81	об этом	4	3
82	он был	2	3
83	в ее	3	3
84	в начале	3	3
85	в этой	10	3
86	кроме того	2	3
87	еще не	3	3
88	такого рода	2	3
89	никак не	8	3
90	как бы	6	3
91	в таких	2	3
92	еще в	5	3
93	что и	6	3
94	вместе с	7	3
95	так и	7	3
96	как в	2	3
97	по отношению	2	3
98	не может	5	3
99	а в	6	3
100	мы находим	7	3
101	жизнь в	3	3
102	самом деле	2	3
103	в значительной	2	3
104	для того	3	3
105	и как	6	3
106	не так	4	3
107	но все	4	3
108	можно было	2	3
109	сказать что	9	3
110	между тем	2	3
111	тем что	2	3
112	при этом	4	3
113	они не	2	3
114	в себе	4	3
115	в другом	3	3
116	только в	9	3
117	в конце	8	3
118	здесь не	7	3
119	в других	3	3
120	не менее	5	2
121	уже в	2	2
122	и страдания	3	2
123	представление о	2	2
124	еще и	4	2
125	хотя бы	2	2
126	с другой	6	2
127	это не	2	2
128	больше чем	2	2
129	и был	2	2
130	что он	7	2
131	можно сказать	6	2
132	огонь и	4	2
133	все же	9	2
134	в дальнейшем	7	2
135	но не	7	2
136	все что	2	2
137	конечно не	2	2
138	и другие	3	2
139	в большей	2	2
140	и сам	4	2
141	он считает	2	2
142	находим и	2	2
143	тут же	6	2
144	время это	2	2
145	в первой	2	2
146	на его	2	2
147	к нему	3	2
148	свидетельствует о	2	2
149	страдания и	3	2
150	из этого	4	2
151	гораздо больше	2	2
152	в котором	2	2
153	раз в	2	2
154	отношению к	2	2
155	дело в	2	2
156	не к	2	2
157	за него	2	2
158	на землю	7	2
159	данном случае	2	2
160	который в	9	2
161	в нашей	2	2
162	или же	2	2
163	именно в	3	2
164	и они	2	2
165	с помощью	2	2
166	и у	5	2
167	тем же	3	2
168	форму и	2	2
169	нас в	4	2
170	потому что	13	2
171	нового времени	4	2
172	он в	3	2
173	даже и	4	2
174	но он	5	2
175	точки зрения	10	2
176	далеко не	4	2
177	в которой	5	2
178	того же	4	2
179	мы не	2	2
180	как о	4	2
181	и сама	2	2
