N	2gram	Bakhtin_KF_1	Freidism
1	и не	26	23
2	не может	27	20
3	точки зрения	12	19
4	прежде всего	2	18
5	и пр	3	15
6	в этом	14	15
7	в его	40	15
8	может быть	45	13
9	и его	17	12
10	как и	5	11
11	как бы	9	11
12	то что	7	11
13	все эти	10	11
14	с точки	9	11
15	и потому	2	10
16	так и	2	10
17	самом деле	3	10
18	его в	5	10
19	с ним	5	10
20	но в	5	10
21	и в	24	9
22	во всех	11	9
23	по отношению	26	9
24	что он	2	8
25	отношению к	22	8
26	еще не	4	8
27	в своей	10	8
28	он не	6	8
29	не только	5	8
30	все это	10	8
31	то же	5	8
32	только в	16	8
33	и все	7	8
34	ни в	12	7
35	к нему	12	7
36	один из	2	7
37	отношение к	5	7
38	никогда не	5	6
39	вовсе не	7	6
40	и ее	2	6
41	для него	8	6
42	того что	3	6
43	в ней	3	6
44	совершенно не	6	6
45	хотя бы	4	6
46	в свою	3	5
47	не в	12	5
48	в этой	2	5
49	в чем	4	5
50	для этого	2	5
51	в то	3	5
52	его жизни	3	5
53	что в	4	5
54	но и	9	5
55	на самом	3	5
56	в себя	7	5
57	для того	3	5
58	а в	4	5
59	и на	3	5
60	могут быть	3	5
61	в каком	4	5
62	я и	2	5
63	не менее	3	4
64	но не	12	4
65	я не	6	4
66	в котором	24	4
67	сознания и	3	4
68	то ни	2	4
69	в жизни	2	4
70	не дает	3	4
71	сводится к	2	4
72	всех этих	3	4
73	же время	2	4
74	при этом	4	4
75	конечно не	7	4
76	от того	3	4
77	в основе	5	4
78	в нем	28	4
79	все же	5	4
80	и за	2	4
81	это только	2	4
82	нигде не	3	4
83	не было	8	4
84	уже не	7	4
85	того чтобы	2	4
86	и для	9	4
87	совсем не	2	4
88	мы не	3	4
89	с ними	3	4
90	в данном	2	4
91	потому что	2	4
92	себя и	2	4
93	говорить о	2	4
94	нисколько не	4	3
95	если бы	8	3
96	и есть	9	3
97	тому что	2	3
98	к себе	2	3
99	конечно в	2	3
100	в себе	21	3
101	войти в	2	3
102	и как	2	3
103	но это	6	3
104	по своему	3	3
105	со всеми	2	3
106	и может	3	3
107	было бы	8	3
108	и она	2	3
109	бы он	2	3
110	с ее	2	3
111	себя в	8	3
112	бы то	2	3
113	жизни и	8	3
114	со стороны	7	3
115	и содержание	5	3
116	не знает	5	3
117	как в	2	3
118	чем не	4	3
119	всех своих	4	3
120	мы имеем	5	3
121	ничего общего	2	3
122	но ведь	5	3
123	и этим	3	3
124	подхода к	2	3
125	в сознании	2	3
126	или иное	2	2
127	его целом	10	2
128	но все	5	2
129	что это	3	2
130	это уже	2	2
131	быть и	3	2
132	его и	2	2
133	всей его	2	2
134	и ни	3	2
135	сознания как	2	2
136	для себя	5	2
137	это не	10	2
138	оно не	2	2
139	к этому	2	2
140	содержание и	2	2
141	человек не	2	2
142	тем не	2	2
143	для нас	4	2
144	в ее	16	2
145	до конца	3	2
146	ни было	4	2
147	это и	2	2
148	том что	4	2
149	а не	17	2
150	не остается	2	2
151	отсюда и	3	2
152	которой он	2	2
153	но для	2	2
154	в процессе	2	2
155	о нем	4	2
156	в него	2	2
157	в своем	16	2
158	себе и	3	2
159	для нее	7	2
160	что значит	2	2
161	дело не	2	2
162	в их	8	2
163	в составе	2	2
164	во всей	4	2
165	а с	2	2
166	сознания в	2	2
167	чтобы не	2	2
168	рядом с	3	2
169	на основе	7	2
170	мир в	11	2
171	и то	2	2
172	то или	2	2
173	от этого	2	2
174	единства и	2	2
175	в своих	3	2
176	что и	7	2
177	но как	5	2
178	в другом	3	2
179	действительно ли	2	2
180	жизни но	3	2
181	философии культуры	2	2
182	общего не	2	2
183	только с	3	2
184	в области	2	2
185	ее целом	2	2
186	в момент	3	2
187	в виду	3	2
188	это было	2	2
