N	2gram	Berdyaev_N_1	Komedia
1	и в	16	22
2	и не	11	21
3	том что	2	13
4	в том	8	12
5	ни в	6	10
6	потому что	4	10
7	вместе с	2	9
8	в этом	7	8
9	о том	4	8
10	а в	2	7
11	еще не	3	6
12	к тому	3	6
13	может быть	7	6
14	и что	2	6
15	того чтобы	2	6
16	в то	2	6
17	не менее	4	5
18	что в	9	5
19	прежде всего	4	5
20	как это	2	5
21	хотя и	2	5
22	не только	5	5
23	в своей	3	5
24	все это	5	5
25	он не	8	5
26	но в	2	5
27	с тем	3	4
28	у него	2	4
29	с другой	3	4
30	нет и	2	4
31	не в	6	4
32	в ней	5	4
33	то что	4	4
34	но и	3	4
35	что она	2	4
36	а не	17	4
37	и для	4	4
38	так же	2	4
39	в себе	2	4
40	так и	2	4
41	хотя бы	2	4
42	и с	2	4
43	с его	6	3
44	никогда не	6	3
45	в них	4	3
46	с этим	2	3
47	в нем	5	3
48	и к	5	3
49	в ее	3	3
50	как и	7	3
51	по своему	4	3
52	который в	2	3
53	одной стороны	2	3
54	и мы	4	3
55	конечно не	3	3
56	к ним	3	3
57	должно было	2	3
58	не может	16	3
59	не могла	2	3
60	с одной	2	3
61	и даже	2	3
62	не имеет	4	3
63	не знает	6	3
64	в основе	3	2
65	все время	2	2
66	как в	3	2
67	не будет	7	2
68	это не	4	2
69	равно как	2	2
70	нового времени	12	2
71	и все	4	2
72	человека и	3	2
73	по существу	2	2
74	возвращение к	3	2
75	она не	3	2
76	за пределы	3	2
77	должен быть	5	2
78	во всех	3	2
79	наряду с	3	2
80	другой стороны	2	2
81	не было	4	2
82	время как	2	2
83	мы не	2	2
84	в мире	3	2
85	в эпоху	9	2
86	роль в	2	2
87	можно было	2	2
88	и на	2	2
89	и это	2	2
