N	3gram	Bakhtin_Pr_1	Dialekti
1	по крайней мере	2	9
2	с точки зрения	15	8
3	не потому что	2	6
4	в том что	7	6
5	потому что она	2	5
6	то же время	7	4
7	о том что	2	4
8	только то что	2	4
9	с другой стороны	2	4
10	в то время	2	3
11	в самом деле	2	3
12	в то же	7	3
13	сами по себе	3	3
14	можно сказать что	2	3
15	не может быть	3	3
16	с самого начала	2	2
17	в данном случае	2	2
18	в зависимости от	3	2
19	но это не	3	2
20	это не значит	2	2
21	само по себе	2	2
22	до сих пор	2	2
23	во всяком случае	3	2
24	потому что он	2	2
