N	2gram	Medvedev_U_1	VelikijI
1	и не	8	20
2	и в	14	16
3	то что	7	9
4	а не	10	7
5	не есть	2	6
6	но и	4	5
7	все это	5	5
8	что все	2	4
9	что он	2	4
10	как и	3	4
11	что мы	2	4
12	в этом	7	4
13	в его	2	4
14	с его	2	3
15	если не	2	3
16	должна быть	2	3
17	превращается в	2	3
18	в конце	2	3
19	в том	2	3
20	не в	2	3
21	но это	2	3
22	что и	2	3
23	в своей	3	3
24	бы и	2	3
25	хотя бы	5	3
26	и для	2	3
27	но в	3	3
28	не могут	2	2
29	его и	2	2
30	это не	3	2
31	прежде всего	8	2
32	том что	2	2
33	мы и	2	2
34	но не	2	2
35	конечно не	4	2
36	для него	3	2
37	не только	10	2
38	тем что	2	2
39	мы не	2	2
40	более чем	2	2
41	вот почему	7	2
42	и то	3	2
43	между тем	2	2
44	является в	2	2
45	могут быть	2	2
46	только в	2	2
47	а между	2	2
