N	2gram	Nazirov_Tv_2	KulturaY
1	и т	13	54
2	т п	2	41
3	и в	20	23
4	в том	8	22
5	не только	13	17
6	в этом	8	16
7	может быть	8	14
8	самом деле	2	14
9	что в	7	13
10	в самом	3	13
11	не менее	2	12
12	потому что	7	12
13	том что	4	11
14	а не	6	11
15	в его	10	11
16	у нас	2	10
17	и не	9	10
18	прежде всего	8	9
19	еще не	5	9
20	таким образом	10	9
21	так как	3	9
22	если бы	4	8
23	до сих	3	8
24	сих пор	3	8
25	т д	11	8
26	уже не	3	8
27	с другой	2	7
28	и что	2	7
29	все эти	4	7
30	что он	6	6
31	при этом	8	6
32	так и	6	6
33	в их	3	6
34	не может	7	6
35	то же	7	6
36	могут быть	2	6
37	говорить о	2	6
38	только в	2	6
39	о том	5	6
40	ничего не	4	6
41	я не	2	5
42	и есть	2	5
43	вовсе не	2	5
44	как и	6	5
45	не в	4	5
46	хотя и	4	5
47	что она	4	5
48	как бы	11	5
49	всякого рода	2	5
50	все же	5	5
51	а в	4	5
52	но это	5	5
53	тем что	3	5
54	в чем	4	5
55	один из	3	4
56	в целом	6	4
57	не случайно	2	4
58	в своей	6	4
59	в ее	2	4
60	точка зрения	2	4
61	то что	3	4
62	как в	4	4
63	не было	2	4
64	тем самым	4	4
65	что не	3	4
66	в таком	3	4
67	не столько	2	4
68	между тем	3	4
69	уже в	2	3
70	это уже	2	3
71	отнюдь не	4	3
72	как о	2	3
73	это не	7	3
74	именно в	6	3
75	xix века	7	3
76	что на	2	3
77	с этой	3	3
78	но не	5	3
79	по преимуществу	2	3
80	он не	3	3
81	но если	2	3
82	в процессе	2	3
83	но и	8	3
84	на него	2	3
85	по отношению	3	3
86	другой стороны	2	3
87	тому же	2	3
88	а с	3	3
89	мы не	4	3
90	не так	2	3
91	и с	8	3
92	в которых	3	3
93	этот вопрос	3	3
94	в то	10	3
95	и только	2	3
96	бы не	2	3
97	так сказать	2	2
98	такой же	2	2
99	только для	2	2
100	все это	6	2
101	в частности	2	2
102	точку зрения	2	2
103	не означает	2	2
104	в одном	2	2
105	в дальнейшем	4	2
106	на западе	3	2
107	что они	4	2
108	и если	2	2
109	может служить	2	2
110	в статье	2	2
111	в котором	3	2
112	его в	3	2
113	отношению к	3	2
114	в область	3	2
115	своего рода	3	2
116	когда он	4	2
117	вместе с	3	2
118	в свете	3	2
119	и без	2	2
120	так в	2	2
121	в отличие	2	2
122	и через	3	2
123	то у	2	2
124	на этот	2	2
125	так же	5	2
126	с другими	2	2
127	во всяком	2	2
128	классической литературы	2	2
129	для которого	2	2
130	таком случае	2	2
131	в россии	2	2
132	отличие от	2	2
133	но в	4	2
134	имеет в	2	2
