N	2gram	Bakhtin_KF_1	Formalny
1	и в	24	24
2	в его	40	23
3	прежде всего	2	22
4	и не	26	20
5	так и	2	18
6	и пр	3	17
7	не может	27	16
8	точки зрения	12	16
9	в этом	14	15
10	в нем	28	14
11	может быть	45	14
12	с точки	9	13
13	в своем	16	11
14	не менее	3	11
15	как и	5	11
16	должно быть	6	11
17	в своей	10	11
18	в их	8	11
19	вовсе не	7	10
20	и ее	2	10
21	и их	6	10
22	то же	5	10
23	в ней	3	10
24	а не	17	10
25	и его	17	10
26	и потому	2	9
27	в процессе	2	9
28	все это	10	9
29	в то	3	9
30	его целом	10	8
31	в ее	16	8
32	же время	2	8
33	именно в	5	8
34	в свою	3	8
35	то что	7	8
36	как в	2	8
37	лишь в	8	8
38	и на	3	8
39	не в	12	8
40	место в	5	7
41	должна быть	4	7
42	до конца	3	7
43	в единстве	7	7
44	не только	5	7
45	с ее	2	7
46	жизни и	8	7
47	но и	9	7
48	на самом	3	7
49	отнюдь не	6	6
50	и все	7	6
51	и здесь	7	6
52	было бы	8	6
53	в том	6	6
54	в этой	2	6
55	самом деле	3	6
56	еще не	4	6
57	как бы	9	6
58	в целом	10	6
59	входит в	3	6
60	а в	4	6
61	все эти	10	6
62	на основе	7	6
63	хотя бы	4	5
64	должен быть	7	5
65	по себе	2	5
66	лишь как	2	5
67	при этом	4	5
68	во всех	11	5
69	со стороны	7	5
70	того что	3	5
71	но в	5	5
72	независимо от	3	4
73	никогда не	5	4
74	не как	4	4
75	своем содержании	2	4
76	в мире	6	4
77	для этого	2	4
78	и может	3	4
79	если бы	8	4
80	конечно не	7	4
81	оно не	2	4
82	отношению к	22	4
83	быть и	3	4
84	по отношению	26	4
85	что в	4	4
86	целом и	3	4
87	не из	2	4
88	познания и	4	4
89	философии культуры	2	4
90	но не	12	3
91	вне ее	3	3
92	всех этих	3	3
93	то ни	2	3
94	в жизни	2	3
95	бы то	2	3
96	ясно что	3	3
97	или иного	3	3
98	что он	2	3
99	его как	5	3
100	для него	8	3
101	это и	2	3
102	и как	2	3
103	но это	6	3
104	в каждом	3	3
105	со всеми	2	3
106	на язык	3	3
107	не по	4	3
108	но для	2	3
109	не о	2	3
110	он не	6	3
111	один из	2	3
112	все же	5	3
113	отношение к	5	3
114	бытия в	5	3
115	не было	8	3
116	и других	2	3
117	сводится к	2	3
118	культуры и	5	3
119	мы не	3	3
120	тем самым	4	3
121	его в	5	3
122	со всем	5	3
123	жизнь и	2	3
124	в основе	5	3
125	в себе	21	3
126	как к	2	3
127	этого слова	2	3
128	человек не	2	3
129	здесь не	3	3
130	думать что	2	3
131	жизнь как	6	3
132	в области	2	3
133	ее целом	2	3
134	а лишь	3	2
135	того или	3	2
136	а как	2	2
137	нисколько не	4	2
138	вступает в	3	2
139	и должна	3	2
140	с тем	2	2
141	на своем	3	2
142	мира как	2	2
143	его и	2	2
144	жизни в	5	2
145	его с	2	2
146	это не	10	2
147	в одном	4	2
148	вопрос о	2	2
149	но эта	5	2
150	ни было	4	2
151	ни в	12	2
152	уже не	7	2
153	войти в	2	2
154	но все	5	2
155	только в	16	2
156	только как	4	2
157	но есть	2	2
158	действительности в	2	2
159	подхода к	2	2
160	нем и	3	2
161	единства и	2	2
162	от того	3	2
163	в него	2	2
164	нет и	3	2
165	что и	7	2
166	не есть	20	2
167	и должен	2	2
168	места в	4	2
169	не дает	3	2
170	во всей	4	2
171	и содержание	5	2
172	ее до	2	2
173	чтобы не	2	2
174	бы оно	2	2
175	раз и	2	2
176	менее всего	6	2
177	для этой	3	2
178	есть лишь	5	2
179	между тем	4	2
180	от этого	2	2
181	положения в	3	2
182	в своих	3	2
183	могла бы	4	2
184	отношении к	2	2
185	ничего не	3	2
186	но ведь	5	2
187	жизни но	3	2
188	и это	12	2
189	бы быть	5	2
190	во всем	7	2
191	с ним	5	2
192	могло бы	4	2
193	мира в	6	2
