N	2gram	Nazirov_Tr_1	Psycholo
1	в том	2	37
2	и в	18	32
3	и что	4	22
4	том что	4	21
5	то что	4	21
6	потому что	2	21
7	то есть	3	21
8	что в	4	20
9	так же	4	18
10	может быть	7	18
11	что и	2	17
12	не может	5	17
13	что она	2	16
14	что он	6	13
15	при этом	3	13
16	то же	5	13
17	в этом	9	13
18	в самом	2	12
19	не только	8	12
20	с тем	2	11
21	как и	5	10
22	но и	4	10
23	и не	7	10
24	никогда не	2	9
25	что все	2	9
26	как в	3	9
27	тем что	2	9
28	что это	5	8
29	не в	2	8
30	к тому	2	7
31	и как	3	7
32	говорит что	2	7
33	все эти	3	7
34	и его	6	7
35	как будто	3	7
36	в этой	4	6
37	он не	2	6
38	как бы	7	6
39	о том	2	6
40	отнюдь не	3	5
41	все это	4	5
42	и даже	4	5
43	и на	7	5
44	в то	5	5
45	столь же	2	4
46	как это	3	4
47	и сам	3	4
48	несмотря на	5	4
49	в нем	4	4
50	все же	5	4
51	и до	2	4
52	данном случае	2	4
53	и все	4	4
54	не имеет	2	4
55	в данном	2	4
56	и с	7	4
57	в целом	4	4
58	и это	2	4
59	ничего не	2	4
60	не могут	2	3
61	в частности	2	3
62	в конце	3	3
63	точно так	2	3
64	об этом	4	3
65	так что	2	3
66	как говорит	2	3
67	до конца	2	3
68	что с	3	3
69	к области	2	3
70	один из	3	3
71	с ее	3	3
72	так и	5	3
73	и ее	2	3
74	бы и	2	3
75	и он	3	3
76	жизнь и	3	3
77	и то	2	3
78	но в	6	3
79	из самых	2	2
80	с его	2	2
81	это не	5	2
82	во сне	2	2
83	в одном	2	2
84	а я	5	2
85	но эта	2	2
86	и здесь	2	2
87	ни в	2	2
88	говорит о	2	2
89	в романе	10	2
90	же время	6	2
91	еще не	4	2
92	в глаза	2	2
93	к нему	3	2
94	в его	3	2
95	в ее	2	2
96	не так	2	2
97	отношение к	2	2
98	к людям	3	2
99	впечатление что	2	2
100	отличие от	2	2
101	в таком	2	2
102	это очень	5	2
103	что этот	2	2
104	но это	4	2
105	в себе	4	2
106	в русском	2	2
107	состоит из	2	2
