N	2gram	Medvedev_U_1	Hudozhes
1	и в	14	28
2	том что	2	19
3	и не	8	18
4	в том	2	15
5	а не	10	14
6	не в	2	13
7	в этом	7	13
8	как и	3	11
9	в его	2	11
10	не только	10	11
11	не случайно	2	10
12	но и	4	9
13	в себе	2	9
14	о чем	2	8
15	что он	2	8
16	может быть	6	8
17	между тем	2	8
18	в частности	3	7
19	что она	2	7
20	это не	3	6
21	то что	7	6
22	в своей	3	6
23	если бы	2	6
24	то же	5	6
25	сводится к	2	6
26	и с	2	6
27	тем что	2	6
28	в то	3	6
29	с его	2	5
30	в этой	4	5
31	в самом	2	5
32	для него	3	5
33	ничего не	2	5
34	бы и	2	4
35	превращается в	2	4
36	но не	2	4
37	же время	3	4
38	в художественном	5	4
39	в конечном	4	4
40	что и	2	4
41	как раз	2	4
42	не может	7	4
43	только в	2	4
44	а между	2	4
45	конечном счете	4	3
46	с другой	4	3
47	что все	2	3
48	прежде всего	8	3
49	самом деле	2	3
50	было бы	3	3
51	не все	2	3
52	все они	2	3
53	все это	5	3
54	же самое	2	3
55	представляется нам	2	2
56	а о	2	2
57	его и	2	2
58	не столько	2	2
59	не как	3	2
60	а как	2	2
61	это уже	2	2
62	нам представляется	2	2
63	до сих	2	2
64	это было	2	2
65	все же	3	2
66	сих пор	2	2
67	более чем	2	2
68	и у	2	2
69	хотя бы	5	2
70	и для	2	2
71	и то	3	2
72	и только	5	2
73	и т.д	3	2
74	но в	3	2
75	же не	2	2
