N	3gram	Vygotskiy__1	EvropaiE
1	с точки зрения	18	16
2	в то же	2	15
3	то же время	2	14
4	с одной стороны	8	8
5	в том что	15	6
6	так же как	5	5
7	для того чтобы	15	5
8	же как и	4	3
9	можно было бы	3	3
10	можно сказать что	4	3
11	в этом отношении	4	3
12	во всяком случае	3	3
13	в известном смысле	2	3
14	друг с другом	4	3
15	в одном из	2	2
16	по сравнению с	5	2
17	в свою очередь	3	2
18	в данном случае	2	2
19	друг от друга	3	2
20	на то что	3	2
21	с другой стороны	9	2
22	и в частности	2	2
23	из того что	5	2
24	заключается в том	6	2
25	прежде всего в	2	2
26	не может быть	5	2
