N	2gram	Berdyaev_N_1	Formalny
1	и не	11	30
2	и в	16	27
3	может быть	7	25
4	не может	16	24
5	так и	2	21
6	в этом	7	18
7	а не	17	17
8	и пр	3	15
9	в нем	5	15
10	как и	7	14
11	не в	6	12
12	и от	2	11
13	в жизни	5	11
14	место в	2	10
15	но и	3	10
16	лишь в	6	9
17	не только	5	9
18	так же	2	9
19	что в	9	8
20	ни в	6	8
21	и все	4	8
22	то что	4	8
23	не менее	4	7
24	в том	8	7
25	все это	5	7
26	потому что	4	7
27	в то	2	7
28	с тем	3	7
29	все время	2	6
30	с другой	3	6
31	все эти	2	6
32	но в	2	6
33	еще не	3	6
34	в своей	3	6
35	хотя бы	2	6
36	и для	4	6
37	вместе с	2	6
38	никогда не	6	5
39	совсем не	12	5
40	того чтобы	2	5
41	другой стороны	2	5
42	в ней	5	5
43	и формы	2	5
44	в истории	3	5
45	но не	2	5
46	и потому	4	5
47	тому как	3	5
48	прежде всего	4	4
49	в смысле	2	4
50	к тому	3	4
51	жизни и	8	4
52	о том	4	4
53	как это	2	4
54	не есть	3	4
55	в ее	3	4
56	том что	2	4
57	она не	3	4
58	конечно не	3	4
59	как в	3	4
60	роль в	2	4
61	мы не	2	4
62	могут быть	2	4
63	подобно тому	3	4
64	же как	2	3
65	это не	4	3
66	формы и	2	3
67	должна быть	3	3
68	в эпоху	9	3
69	и что	2	3
70	и на	2	3
71	сказать что	3	3
72	и с	2	3
73	в основе	3	3
74	жизни в	3	3
75	в них	4	3
76	равно как	2	3
77	во всех	3	3
78	нет и	2	3
79	уже не	2	3
80	в себе	2	3
81	для этого	2	2
82	человека и	3	2
83	но это	6	2
84	такой же	2	2
85	смысле слова	3	2
86	xviii века	2	2
87	но для	2	2
88	для чего	2	2
89	что она	2	2
90	и даже	2	2
91	в высшей	6	2
92	в россии	3	2
93	с его	6	2
94	этом смысле	2	2
95	перестает быть	4	2
96	к более	2	2
97	с ее	5	2
98	одна из	2	2
99	за пределы	3	2
100	не значит	3	2
101	должен быть	5	2
102	как не	8	2
103	всех сторон	4	2
104	это и	2	2
105	высшей степени	6	2
106	на протяжении	2	2
107	познания и	2	2
108	связаны с	2	2
109	и это	2	2
