N	2gram	Kanaev_Sov_1	Myshleni
1	в развитии	4	28
2	в этом	7	25
3	таким образом	11	19
4	в том	4	18
5	не может	17	18
6	точки зрения	12	18
7	что в	2	16
8	и в	7	16
9	так как	4	16
10	не только	4	16
11	между собой	3	13
12	вопрос о	4	12
13	и не	6	12
14	и что	2	12
15	в области	3	12
16	в его	2	11
17	с помощью	4	10
18	было бы	3	10
19	как мы	2	10
20	а не	3	10
21	может быть	12	9
22	с точки	5	9
23	как и	6	8
24	мы должны	4	8
25	то же	3	8
26	и есть	2	7
27	друг с	2	7
28	в нем	3	7
29	приводит к	2	7
30	если мы	4	7
31	с другом	2	7
32	что все	2	6
33	для развития	2	6
34	не в	3	6
35	в этой	3	6
36	развития в	2	6
37	как он	3	6
38	но в	3	6
39	у него	2	6
40	мы можем	6	6
41	самого начала	3	5
42	как бы	4	5
43	но мы	3	5
44	еще более	2	5
45	он должен	2	5
46	тот же	2	5
47	с самого	3	5
48	в которой	2	5
49	ничего не	6	5
50	с необходимостью	3	5
51	не могут	2	4
52	все эти	5	4
53	это не	4	4
54	в свою	2	4
55	при этом	3	4
56	в самом	2	4
57	на этот	2	4
58	в целом	4	4
59	в системе	3	4
60	и по	2	4
61	же самое	2	4
62	в результате	6	4
63	мы видим	2	4
64	как известно	2	4
65	еще не	3	4
66	вместе с	4	4
67	развития но	2	4
68	той же	2	4
69	могут быть	2	4
70	такой же	2	4
71	и т.д	3	4
72	не менее	2	3
73	прежде всего	5	3
74	мы знаем	2	3
75	самом деле	2	3
76	свою очередь	2	3
77	мы видели	4	3
78	значение в	2	3
79	с одной	2	3
80	а в	4	3
81	говорить о	2	3
82	в первом	3	3
83	мы не	9	3
84	с этим	2	3
85	в одном	3	3
86	этих двух	2	3
87	он может	3	3
88	все же	3	3
89	на этом	2	3
90	из которых	2	3
91	он в	3	3
92	но все	2	2
93	не дает	2	2
94	на его	2	2
95	совершенно не	2	2
96	только один	2	2
97	из них	4	2
98	в отличие	2	2
99	что она	3	2
100	все это	3	2
101	то и	2	2
102	говорим о	2	2
103	и даже	2	2
104	может иметь	2	2
105	системы в	4	2
106	их в	4	2
107	же мы	2	2
108	для его	2	2
109	на их	2	2
110	в зависимости	4	2
111	и к	3	2
112	отличие от	2	2
113	у нас	3	2
114	зависимости от	4	2
115	со всеми	2	2
116	жизни и	4	2
117	и потому	3	2
118	во всяком	2	2
119	развития мы	2	2
