N	2gram	Bakhtin_Pr_2	Marksizm
1	точки зрения	13	34
2	может быть	23	26
3	и не	29	26
4	не может	18	24
5	с точки	8	20
6	и в	43	19
7	и его	8	19
8	таким образом	5	17
9	в этом	13	16
10	как бы	22	15
11	в процессе	2	14
12	прежде всего	10	13
13	как мы	10	13
14	как и	14	12
15	и пр	2	12
16	так и	3	11
17	если мы	2	11
18	и для	3	11
19	в самом	7	10
20	в нем	12	10
21	в слове	5	10
22	ни было	2	10
23	самом деле	5	10
24	для него	8	9
25	лишь в	8	9
26	в результате	4	9
27	внутренней речи	2	9
28	только в	4	9
29	на материале	2	8
30	при этом	6	8
31	но и	14	8
32	до сих	7	8
33	не только	11	8
34	все же	3	8
35	то что	7	8
36	сих пор	7	8
37	в каждом	11	7
38	все эти	5	7
39	в направлении	4	7
40	так же	2	7
41	но в	10	7
42	во всех	4	7
43	то же	8	7
44	а не	7	7
45	слова как	3	7
46	в том	6	6
47	кроме того	3	6
48	в настоящее	2	6
49	в пределах	16	6
50	другой стороны	3	6
51	и здесь	3	6
52	настоящее время	2	6
53	того же	3	6
54	в его	10	6
55	на почве	2	6
56	мы не	4	6
57	так сказать	6	6
58	ничего не	3	6
59	с другой	4	5
60	в конце	2	5
61	не в	11	5
62	до конца	4	5
63	конечно не	2	5
64	рядом с	5	5
65	и все	6	5
66	вовсе не	5	5
67	за пределы	3	5
68	в отличие	4	5
69	входит в	2	5
70	связи между	3	5
71	хотя бы	2	5
72	этот вопрос	4	5
73	во всяком	2	5
74	может стать	4	5
75	отличие от	4	5
76	что в	4	4
77	не менее	3	4
78	в отношении	3	4
79	вопрос о	2	4
80	как же	2	4
81	слово как	4	4
82	к одному	6	4
83	здесь мы	2	4
84	а в	5	4
85	и на	10	4
86	тот же	3	4
87	сказать что	2	4
88	вне его	2	4
89	с этим	2	4
90	по себе	11	4
91	еще не	9	4
92	было бы	5	4
93	что же	7	4
94	как в	2	4
95	мысли и	2	4
96	только на	3	4
97	и эта	2	4
98	между ними	4	4
99	отношении к	2	4
100	далеко не	4	4
101	он является	2	3
102	данной социальной	2	3
103	в нашу	2	3
104	а как	4	3
105	переходим к	3	3
106	здесь в	3	3
107	или иной	3	3
108	и как	2	3
109	в большинстве	9	3
110	же время	5	3
111	в котором	6	3
112	из них	2	3
113	все это	5	3
114	по отношению	5	3
115	конце концов	2	3
116	того что	2	3
117	от одного	2	3
118	между тем	3	3
119	в то	7	3
120	его в	3	3
121	большинстве случаев	8	3
122	слово в	8	3
123	сознания и	3	3
124	к другому	5	3
125	не могут	4	3
126	и к	3	3
127	том что	2	3
128	более того	4	3
129	и при	2	3
130	совершенно не	4	3
131	в сущности	9	3
132	он не	9	3
133	не есть	2	3
134	в первом	2	3
135	в своей	4	3
136	быть и	2	3
137	целый ряд	2	3
138	должны быть	2	3
139	и следовательно	3	3
140	на этот	4	3
141	но все	2	3
142	нашей работы	2	3
143	речи и	4	3
144	и ее	3	3
145	слова и	12	3
146	и это	4	3
147	в узком	2	2
148	сама по	4	2
149	должна быть	3	2
150	никогда не	9	2
151	в своем	4	2
152	его к	2	2
153	слова но	2	2
154	словом и	2	2
155	тем не	2	2
156	ни в	2	2
157	как если	2	2
158	узком смысле	2	2
159	разобранные нами	3	2
160	в единстве	3	2
161	но для	3	2
162	и является	2	2
163	в виду	3	2
164	со всею	3	2
165	себе и	4	2
166	и др	2	2
167	и сознание	2	2
168	зрения и	3	2
169	в первой	2	2
170	и их	3	2
171	и только	3	2
172	пределах одного	9	2
173	и даже	3	2
174	речь и	2	2
175	должно быть	4	2
176	можно было	3	2
177	в своих	2	2
178	в одной	3	2
179	же и	4	2
180	из этих	2	2
181	в конкретном	3	2
182	о том	5	2
183	этом смысле	2	2
184	как он	2	2
185	так как	4	2
186	бы в	5	2
187	и с	5	2
188	по мере	4	2
189	если бы	3	2
190	и та	2	2
191	между собой	2	2
192	и всякое	2	2
193	не как	6	2
194	но при	3	2
195	быть в	2	2
196	что он	13	2
197	конечно в	2	2
198	одному знаменателю	2	2
199	в себе	5	2
200	в романе	3	2
201	у нас	2	2
202	одна из	2	2
203	она не	3	2
204	мы уже	3	2
205	к тому	4	2
206	этого слова	2	2
207	что и	3	2
208	отношению к	5	2
209	бы и	2	2
210	как раз	4	2
211	человека в	4	2
212	речи как	2	2
213	что не	2	2
214	что такое	2	2
215	и он	5	2
216	той же	3	2
217	в таком	2	2
218	или в	8	2
219	мы можем	2	2
220	тем что	3	2
221	могут быть	3	2
222	в другом	7	2
223	ту же	2	2
224	не знает	3	2
225	там где	4	2
226	слово может	4	2
