N	2gram	Bakhtin_Fr_2	Literetu
1	не только	17	24
2	при этом	5	19
3	в качестве	2	17
4	но и	13	17
5	в том	3	16
6	том что	4	14
7	может быть	5	13
8	в году	13	13
9	и не	15	12
10	в этом	15	12
11	прежде всего	19	11
12	в своем	5	11
13	такого рода	2	10
14	то что	6	10
15	и в	49	8
16	только в	13	8
17	в его	18	7
18	как бы	11	7
19	в себе	4	7
20	в жизни	4	6
21	как и	11	6
22	связи с	2	6
23	точки зрения	6	6
24	xix века	2	6
25	то есть	32	6
26	с его	5	5
27	что он	3	5
28	же в	3	5
29	же время	6	5
30	не может	7	5
31	то же	7	5
32	уже в	5	5
33	одним из	2	5
34	в то	6	5
35	перестает быть	2	4
36	в конце	2	4
37	но не	5	4
38	еще не	2	4
39	в формах	2	4
40	еще в	2	4
41	все же	7	4
42	из них	3	4
43	в художественном	2	4
44	по преимуществу	2	4
45	в своей	5	4
46	так и	6	4
47	и т.п	11	4
48	никогда не	5	4
49	в связи	2	4
50	лишь в	4	4
51	и его	17	4
52	в своих	4	4
53	в этой	10	4
54	не было	4	3
55	что в	2	3
56	с другой	4	3
57	одного из	2	3
58	да и	3	3
59	одна из	4	3
60	с их	6	3
61	в пределах	2	3
62	и прежде	2	3
63	в самом	3	3
64	несмотря на	3	3
65	у него	2	3
66	один из	7	3
67	и др	9	3
68	жизни и	7	3
69	в их	2	3
70	а в	4	3
71	таким образом	7	3
72	и даже	2	3
73	во всяком	2	3
74	нуждается в	2	3
75	но в	4	3
76	также и	3	3
77	далеко не	3	3
78	тех же	2	3
79	в области	4	3
80	в виду	3	3
81	для них	2	2
82	превращается в	3	2
83	та же	2	2
84	из этих	5	2
85	подобно тому	2	2
86	человека и	3	2
87	в себя	6	2
88	для понимания	2	2
89	в мире	2	2
90	в другом	2	2
91	для него	9	2
92	своего времени	2	2
93	одной стороны	3	2
94	было бы	3	2
95	по поводу	2	2
96	за пределы	2	2
97	xviii века	6	2
98	вплоть до	2	2
99	относится к	5	2
100	всяком случае	2	2
101	даже в	3	2
102	из наиболее	2	2
103	в нем	9	2
104	только то	2	2
105	в сущности	8	2
106	этом отношении	3	2
107	с одной	3	2
108	все эти	7	2
109	ко всему	2	2
110	с точки	5	2
111	что для	3	2
112	роль в	5	2
113	можно было	3	2
114	тому как	2	2
115	нового времени	4	2
116	тем что	4	2
117	одну из	2	2
118	могут быть	2	2
119	себе в	2	2
120	о том	3	2
