N	2gram	Nazirov_Tr_1	Istorich
1	и в	18	26
2	так же	4	18
3	то что	4	16
4	не только	8	15
5	что в	4	14
6	может быть	7	14
7	но и	4	12
8	что он	6	10
9	так и	5	10
10	и его	6	10
11	что и	2	9
12	все же	5	9
13	и не	7	9
14	его в	2	9
15	то же	5	8
16	об этом	4	7
17	как и	5	7
18	он не	2	7
19	я тебе	2	7
20	как в	3	7
21	в этом	9	7
22	в дальнейшем	5	6
23	еще не	4	6
24	не может	5	6
25	к нему	3	6
26	и то	2	6
27	потому что	2	6
28	у него	6	5
29	и как	3	5
30	это не	5	5
31	точно так	2	5
32	в одном	2	5
33	но все	2	5
34	ничего не	2	5
35	в его	3	5
36	и что	4	5
37	уже не	2	5
38	не в	2	5
39	и с	7	5
40	тем что	2	5
41	и здесь	2	5
42	но в	6	5
43	вопрос о	2	4
44	не просто	2	4
45	но эта	2	4
46	и даже	4	4
47	что этот	2	4
48	о том	2	4
49	перед нами	2	3
50	в образе	6	3
51	своего отца	3	3
52	в том	2	3
53	том что	4	3
54	но это	4	3
55	при этом	3	3
56	как бы	7	3
57	все эти	3	3
58	и он	3	3
59	данном случае	2	3
60	что она	2	3
61	как это	3	3
62	не мог	2	3
63	не имеет	2	3
64	он всегда	4	3
65	в данном	2	3
66	о чем	3	3
67	уже в	3	2
68	не могут	2	2
69	с тем	2	2
70	что образ	3	2
71	это уже	2	2
72	никогда не	2	2
73	со мной	2	2
74	в своем	3	2
75	и все	4	2
76	а как	2	2
77	в самую	2	2
78	ни в	2	2
79	говорит о	2	2
80	так что	2	2
81	что я	4	2
82	одна из	2	2
83	говорит что	2	2
84	в частности	2	2
85	в нем	4	2
86	в целом	4	2
87	отношение к	2	2
88	все это	4	2
89	что это	5	2
90	и за	2	2
91	тут же	2	2
92	и на	7	2
93	не случайно	2	2
94	в виде	2	2
95	в себе	4	2
96	в этой	4	2
