N	2gram	Losev_Dial_2	Tvorches
1	и в	19	21
2	как бы	14	17
3	в то	6	15
4	то же	12	13
5	времени в	2	13
6	что в	7	12
7	как и	10	12
8	же время	5	12
9	том что	10	11
10	все это	4	10
11	как в	2	8
12	он не	4	8
13	то что	14	8
14	в том	14	7
15	при этом	4	7
16	не только	19	7
17	и не	30	7
18	но в	2	7
19	что он	6	6
20	и все	12	6
21	не менее	3	6
22	а в	4	6
23	и его	5	6
24	в этом	8	6
25	о том	5	6
26	это уже	2	5
27	отнюдь не	6	5
28	вовсе не	13	5
29	а не	16	5
30	но это	7	5
31	может быть	20	5
32	в этой	3	5
33	все же	4	5
34	таким образом	4	5
35	хотя бы	4	5
36	в своих	2	5
37	потому что	14	5
38	как будто	7	5
39	только в	5	5
40	в своем	4	4
41	та же	4	4
42	человека и	2	4
43	прежде всего	8	4
44	в мире	2	4
45	и как	10	4
46	времени и	9	4
47	в своей	8	4
48	не может	9	4
49	это не	10	4
50	и от	3	4
51	уже в	4	3
52	самого начала	2	3
53	никогда не	9	3
54	с другой	5	3
55	в каждом	2	3
56	я не	6	3
57	с ним	4	3
58	с ее	2	3
59	это и	3	3
60	с самого	2	3
61	что я	2	3
62	но не	6	3
63	на его	2	3
64	в самом	5	3
65	даже в	3	3
66	в нем	10	3
67	и т	17	3
68	жизни и	6	3
69	не по	2	3
70	но и	12	3
71	дело не	2	3
72	ее в	2	3
73	в их	2	3
74	во времени	4	3
75	уже не	3	3
76	на самом	2	3
77	это как	3	3
78	того что	6	3
79	и даже	14	3
80	и по	4	3
81	так же	2	3
82	в которой	2	3
83	петр александрович	3	3
84	и с	5	3
85	в виде	2	3
86	так как	14	3
87	человека но	2	3
88	я и	2	3
89	ни на	2	3
90	может не	4	2
91	перед нами	2	2
92	зависит от	2	2
93	личности и	6	2
94	и та	6	2
95	в частности	2	2
96	в этих	3	2
97	и время	4	2
98	в вечности	6	2
99	по крайней	9	2
100	у пушкина	2	2
101	в жизни	2	2
102	так вот	2	2
103	личности в	8	2
104	есть не	7	2
105	можно сказать	5	2
106	что и	5	2
107	крайней мере	9	2
108	об этом	3	2
109	так что	7	2
110	не в	8	2
111	время не	3	2
112	из них	3	2
113	к тому	2	2
114	не могу	6	2
115	в одной	4	2
116	общения с	3	2
117	в ней	2	2
118	же и	9	2
119	и когда	4	2
120	времени а	3	2
121	когда я	2	2
122	если в	2	2
123	себе не	3	2
124	тем не	2	2
125	не будет	2	2
126	вместе с	2	2
127	данном случае	2	2
128	жизни с	2	2
129	так и	10	2
130	не во	2	2
131	именно в	2	2
132	мы находим	3	2
133	что она	14	2
134	но только	3	2
135	в одно	5	2
136	самом деле	4	2
137	но без	3	2
138	что не	6	2
139	и притом	7	2
140	только что	5	2
141	на свете	5	2
142	или в	2	2
143	сказать что	10	2
144	могут быть	4	2
145	но он	4	2
146	это время	3	2
147	в данном	3	2
148	в себе	15	2
149	т п	2	2
150	о котором	3	2
151	и человек	2	2
152	пространства и	7	2
153	в один	3	2
154	в чем	3	2
155	не то	5	2
156	нет ни	3	2
157	значит что	12	2
158	в виду	5	2
