N	2gram	Berdyaev_V_1	Tvorches
1	и в	16	21
2	как бы	5	17
3	в его	4	13
4	что в	3	12
5	как и	4	12
6	с его	3	11
7	том что	2	11
8	все это	5	10
9	то что	9	8
10	в том	3	7
11	не только	2	7
12	и не	20	7
13	но в	3	7
14	что он	4	6
15	и все	4	6
16	для него	2	6
17	в котором	4	6
18	а в	2	6
19	в этом	4	6
20	а не	7	5
21	но это	3	5
22	хотя бы	3	5
23	потому что	4	5
24	только в	2	5
25	человека и	6	4
26	прежде всего	2	4
27	в мире	5	4
28	один из	2	4
29	в своей	3	4
30	это не	2	4
31	никогда не	3	3
32	что все	4	3
33	с ним	2	3
34	что я	3	3
35	но не	2	3
36	в нем	4	3
37	и т	2	3
38	жизни и	3	3
39	но и	5	3
40	ее в	2	3
41	уже не	2	3
42	на земле	7	3
43	добра и	4	3
44	того что	5	3
45	не так	2	3
46	вот почему	2	3
47	для человека	2	3
48	хотя и	5	3
49	о свободе	2	3
50	так как	9	3
51	личности и	3	2
52	верит в	2	2
53	в этих	3	2
54	на том	2	2
55	в жизни	3	2
56	ее и	2	2
57	что и	3	2
58	во главе	2	2
59	не в	3	2
60	бога и	5	2
61	одна из	2	2
62	тот же	3	2
63	и зла	2	2
64	к тому	3	2
65	в ней	4	2
66	когда я	2	2
67	людей в	3	2
68	в духе	2	2
69	не будет	2	2
70	и против	3	2
71	так и	4	2
72	вслед за	2	2
73	человека как	2	2
74	в себя	2	2
75	свободы и	12	2
76	и будет	3	2
77	что не	4	2
78	за то	3	2
79	людей и	2	2
80	могут быть	2	2
81	во имя	32	2
82	что ты	3	2
83	в чем	3	2
84	мира в	2	2
