N	2gram	Tiupa_Lite_1	Stilisti
1	и в	8	42
2	как бы	7	27
3	не только	24	27
4	и т.п	4	24
5	прежде всего	11	22
6	хотя бы	2	17
7	но и	17	15
8	то же	5	15
9	и не	12	14
10	может быть	13	12
11	не может	5	12
12	точки зрения	6	11
13	как и	6	11
14	отнюдь не	2	10
15	в этом	12	10
16	при этом	19	9
17	в то	5	9
18	то что	10	9
19	все же	4	8
20	таким образом	3	8
21	тем самым	5	8
22	в себе	7	8
23	никогда не	4	7
24	же время	5	7
25	и тем	4	7
26	потому что	3	7
27	с его	5	7
28	было бы	2	7
29	а не	16	7
30	и его	4	7
31	только в	8	7
32	или иной	2	6
33	не в	8	6
34	в этой	4	6
35	в конце	4	6
36	в нем	2	6
37	так и	4	6
38	в области	3	6
39	уже в	5	5
40	и является	2	5
41	не является	2	5
42	а в	3	5
43	как это	8	5
44	в сознании	2	5
45	в его	7	5
46	с точки	2	5
47	той же	3	5
48	к тому	2	4
49	художественного творчества	3	4
50	в качестве	17	4
51	в самом	3	4
52	на другого	2	4
53	один из	3	4
54	того что	6	4
55	о том	2	4
56	его в	3	4
57	но в	3	4
58	или иную	2	4
59	ту или	2	4
60	себя в	6	4
61	всего в	3	4
62	уже не	7	4
63	самом деле	2	4
64	тем же	3	4
65	в слове	2	4
66	можно было	2	4
67	и то	2	4
68	то есть	6	4
69	на это	2	4
70	это не	4	3
71	и само	2	3
72	не мог	3	3
73	в целом	8	3
74	не к	2	3
75	из них	4	3
76	жизни и	3	3
77	лишь в	4	3
78	и даже	3	3
79	нуждается в	3	3
80	та же	2	3
81	в виду	3	3
82	то он	2	3
83	но при	2	3
84	том что	14	3
85	еще не	4	3
86	о своем	2	3
87	мы в	2	3
88	да и	3	3
89	только на	2	3
90	что такое	2	3
91	роль в	2	3
92	связи с	6	3
93	в душе	3	2
94	в частности	15	2
95	человека и	2	2
96	в мире	2	2
97	в том	16	2
98	тому же	2	2
99	и нет	2	2
100	для него	2	2
101	в пределах	3	2
102	и сам	6	2
103	несмотря на	3	2
104	общения людей	2	2
105	не говоря	2	2
106	в связи	4	2
107	не было	3	2
108	этом отношении	2	2
109	еще и	3	2
110	все эти	2	2
111	в своих	4	2
112	также и	3	2
113	по своей	3	2
114	нет ничего	2	2
115	я и	7	2
116	в жизни	6	2
117	в основе	3	2
118	такие как	3	2
119	для них	2	2
120	однако в	2	2
121	себе в	2	2
122	своего героя	2	2
123	с собой	4	2
124	общественного сознания	3	2
125	что он	5	2
126	не должен	3	2
127	чуть ли	2	2
128	представляет собой	4	2
129	но не	4	2
130	не есть	2	2
131	в своей	4	2
132	как в	5	2
133	при всем	3	2
134	бы не	3	2
135	ли не	3	2
136	на наш	5	2
137	тем что	2	2
