N	2gram	Vygotskiy__7	FransuaR
1	и в	26	49
2	прежде всего	7	19
3	в его	4	18
4	не только	24	17
5	и его	12	17
6	и не	18	15
7	в этом	29	15
8	только в	8	13
9	но и	11	13
10	во время	2	12
11	как и	15	11
12	как бы	6	11
13	вовсе не	2	10
14	в этой	3	10
15	все это	3	9
16	для него	3	9
17	в нем	2	9
18	в сущности	9	8
19	отношение к	2	8
20	все же	6	7
21	один из	2	7
22	не может	11	7
23	таким образом	23	7
24	то же	8	7
25	все эти	6	7
26	как мы	14	7
27	именно в	6	6
28	то что	24	6
29	мы уже	3	6
30	во всех	6	6
31	так и	3	6
32	сказать что	8	6
33	и с	5	6
34	но он	2	6
35	точки зрения	28	6
36	в то	3	6
37	так как	14	6
38	никогда не	4	5
39	уже в	2	5
40	из этих	3	5
41	выражение в	6	5
42	в начале	5	5
43	но не	3	5
44	может быть	7	5
45	в основном	3	5
46	и потому	3	5
47	относится к	2	5
48	в своей	3	5
49	с точки	21	5
50	с другой	4	4
51	и во	4	4
52	и к	7	4
53	в себе	9	4
54	том что	17	4
55	и о	3	4
56	в своих	2	4
57	благодаря этому	2	4
58	в этих	2	4
59	значение в	2	4
60	и до	2	4
61	сих пор	3	4
62	до сих	3	4
63	отношения к	2	4
64	а в	2	4
65	мы находим	3	4
66	лишь в	2	4
67	как на	6	4
68	в области	4	4
69	тем что	9	4
70	с ним	3	4
71	но в	4	4
72	связана с	3	3
73	с одной	5	3
74	о чем	4	3
75	в собственном	3	3
76	что он	8	3
77	в ее	6	3
78	в том	18	3
79	а затем	2	3
80	во всем	3	3
81	нельзя было	2	3
82	но именно	2	3
83	одной стороны	5	3
84	было бы	6	3
85	несмотря на	2	3
86	в самом	9	3
87	наконец в	2	3
88	даже в	2	3
89	раз в	2	3
90	с ее	2	3
91	мы видели	3	3
92	ни в	2	3
93	что для	2	3
94	этом отношении	3	3
95	и других	2	3
96	на первом	2	3
97	менее всего	3	3
98	к нему	3	3
99	можно было	2	3
100	также и	2	3
101	о том	4	3
102	в виду	5	3
103	одного из	2	2
104	учение о	3	2
105	содержит в	3	2
106	связи с	4	2
107	что в	12	2
108	могут быть	2	2
109	в меру	7	2
110	в нашем	4	2
111	в качестве	5	2
112	точку зрения	2	2
113	никто не	2	2
114	о человеке	2	2
115	как известно	2	2
116	в одну	2	2
117	в смысле	6	2
118	на то	4	2
119	можно сказать	5	2
120	в отношении	2	2
121	в самой	3	2
122	в новой	3	2
123	это и	4	2
124	но это	3	2
125	от внешней	6	2
126	что они	10	2
127	есть в	3	2
128	все что	6	2
129	по сравнению	9	2
130	ничего не	2	2
131	до конца	5	2
132	еще не	4	2
133	со всеми	2	2
134	совершенно не	2	2
135	одним из	2	2
136	в ней	3	2
137	к ней	2	2
138	речь и	5	2
139	вместе с	12	2
140	собственном смысле	3	2
141	ее в	8	2
142	в их	2	2
143	целый ряд	4	2
144	за счет	2	2
145	того как	2	2
146	форм и	2	2
147	на самом	3	2
148	ко всему	2	2
149	того чтобы	19	2
150	так же	14	2
151	что слово	2	2
152	и значение	5	2
153	во всяком	2	2
154	одной из	4	2
155	и следовательно	5	2
156	нуждается в	3	2
157	себе в	5	2
158	на его	2	2
159	как к	3	2
160	мы должны	6	2
161	сравнению с	8	2
162	в конце	4	2
163	мы можем	3	2
