N	2gram	Potebnia_M_4	Sotsiolo
1	все это	5	7
2	в том	23	5
3	в этом	23	5
4	не в	11	3
5	как же	4	3
6	для нас	14	3
7	и только	3	3
8	в его	5	3
9	более чем	3	3
10	и в	23	3
11	не только	10	3
12	по отношению	10	2
13	еще не	3	2
14	было бы	8	2
15	только в	15	2
16	и мы	5	2
17	таким образом	24	2
18	том что	12	2
19	то же	14	2
20	отношению к	8	2
21	то что	29	2
22	тем более	5	2
23	может быть	26	2
24	и что	7	2
25	но и	11	2
26	дело не	2	2
27	очевидно что	7	2
28	только как	4	2
29	в смысле	3	2
30	как бы	5	2
31	что в	17	2
