N	2gram	Berdyaev_M_2	Tragedij
1	и в	46	18
2	в этом	20	9
3	в бесах	6	9
4	не только	18	8
5	он сам	6	7
6	и не	18	7
7	достоевский в	3	7
8	и на	3	7
9	и с	3	7
10	петр верховенский	4	7
11	может быть	21	7
12	как бы	8	7
13	в образе	3	6
14	что он	7	6
15	и его	5	6
16	у него	22	6
17	но в	10	6
18	что это	6	5
19	так и	4	5
20	это не	5	5
21	не может	15	5
22	то же	5	5
23	как и	13	5
24	у достоевского	34	5
25	но и	15	4
26	но достоевский	3	4
27	то что	5	4
28	что в	4	4
29	я не	5	4
30	прежде всего	12	4
31	и все	5	4
32	в нем	22	4
33	так же	6	4
34	том что	4	4
35	но это	8	4
36	в этой	7	4
37	и что	2	4
38	достоевский не	5	4
39	в себе	10	4
40	уже в	2	3
41	один из	5	3
42	достоевского в	2	3
43	в своем	8	3
44	в конце	5	3
45	что за	2	3
46	как в	7	3
47	жизнь и	4	3
48	и он	11	3
49	к нему	2	3
50	сам достоевский	3	3
51	должно быть	2	3
52	в его	5	3
53	для него	18	3
54	как будто	2	3
55	в мире	7	3
56	с ним	3	3
57	еще в	2	2
58	не имеет	4	2
59	не был	2	2
60	что и	4	2
61	и за	2	2
62	ставрогина к	2	2
63	что все	5	2
64	вопрос о	6	2
65	но эта	2	2
66	для достоевского	8	2
67	уже не	4	2
68	бы и	5	2
69	с его	4	2
70	отношение к	8	2
71	говорит что	2	2
72	к тому	5	2
73	человеческой личности	7	2
74	не так	3	2
75	и здесь	6	2
76	ни в	3	2
77	он был	9	2
78	в том	3	2
79	до конца	4	2
80	друг друга	12	2
81	так что	2	2
82	не в	9	2
83	в русском	4	2
84	не случайно	2	2
85	любви и	3	2
86	потому что	12	2
87	тем что	3	2
88	личности и	2	2
89	как у	2	2
90	было в	3	2
91	ивана карамазова	7	2
92	о том	3	2
93	его в	3	2
94	и это	5	2
95	нет в	4	2
96	в самом	5	2
97	не мог	3	2
98	достоевским в	3	2
99	ничего не	2	2
100	он не	10	2
101	настасья филипповна	4	2
102	что она	5	2
103	никогда не	18	2
