N	2gram	Propp_Isto_1	VelikijI
1	и не	9	20
2	и в	28	16
3	то что	9	9
4	так как	6	9
5	еще не	7	8
6	что они	5	7
7	и потому	2	7
8	а не	15	7
9	не есть	2	6
10	как бы	2	5
11	но и	10	5
12	все это	4	5
13	того что	4	5
14	ты не	5	5
15	в образе	3	4
16	что он	10	4
17	в нем	2	4
18	как и	4	4
19	что мы	7	4
20	в котором	3	4
21	так и	9	4
22	мы хотим	2	4
23	что не	2	4
24	потому что	4	4
25	в этом	8	4
26	в ней	7	4
27	в его	5	4
28	должна быть	5	3
29	что в	12	3
30	по этому	2	3
31	в этих	7	3
32	превращается в	4	3
33	в том	9	3
34	не в	9	3
35	но это	4	3
36	тот же	2	3
37	и мы	2	3
38	к тому	6	3
39	во всех	2	3
40	никогда не	14	3
41	то это	3	3
42	что и	6	3
43	и что	10	3
44	за то	2	3
45	к чему	3	3
46	хотя бы	4	3
47	и для	4	3
48	должно быть	2	3
49	их в	5	3
50	от этого	2	3
51	все эти	4	3
52	но в	8	3
53	что от	2	2
54	что их	2	2
55	не могут	2	2
56	с тем	4	2
57	его и	2	2
58	это не	7	2
59	прежде всего	10	2
60	для нас	13	2
61	том что	7	2
62	одна из	2	2
63	но не	5	2
64	конечно не	2	2
65	для него	2	2
66	вслед за	6	2
67	не только	12	2
68	один из	4	2
69	но мы	2	2
70	не с	3	2
71	и т	25	2
72	это дело	3	2
73	ее в	5	2
74	всего в	2	2
75	в форме	3	2
76	и тогда	3	2
77	т д	22	2
78	а с	2	2
79	тем что	3	2
80	мы не	10	2
81	уже не	3	2
82	не так	2	2
83	а в	7	2
84	с ним	2	2
85	можно было	5	2
86	между тем	2	2
87	могут быть	4	2
88	только в	11	2
89	от этих	2	2
