N	2gram	Tiupa_Teor_1	Istorich
1	и в	18	25
2	вместе с	2	22
3	может быть	17	17
4	мы имеем	7	14
5	не только	16	13
6	но и	9	13
7	в его	6	12
8	и не	13	11
9	уже не	4	11
10	в этом	8	10
11	с другой	7	9
12	его в	2	9
13	и его	8	9
14	таким образом	3	9
15	что в	9	8
16	том что	9	8
17	еще не	4	8
18	другой стороны	5	8
19	все эти	2	8
20	и что	3	8
21	в частности	16	7
22	в качестве	24	7
23	тот кто	2	7
24	как и	4	7
25	то что	3	7
26	одной стороны	2	7
27	в нем	4	7
28	с одной	2	7
29	превращается в	2	7
30	потому что	3	7
31	и здесь	2	7
32	представляет собой	9	7
33	только в	6	7
34	в этих	3	6
35	это не	2	6
36	прежде всего	2	6
37	что и	2	6
38	себя в	6	6
39	как в	5	6
40	не может	4	6
41	не в	7	6
42	или в	3	6
43	могут быть	4	6
44	в том	16	6
45	но не	9	5
46	так же	2	5
47	не менее	4	4
48	и тем	3	4
49	с другими	5	4
50	тем не	3	4
51	в ее	5	4
52	в пределах	5	4
53	а именно	2	4
54	все это	2	4
55	то же	7	4
56	на смену	4	4
57	он не	3	4
58	и это	2	4
59	в которой	2	4
60	никогда не	4	3
61	и как	2	3
62	в целом	3	3
63	в свою	3	3
64	в этой	3	3
65	в то	6	3
66	в себя	3	3
67	в роли	3	3
68	если в	2	3
69	на себя	2	3
70	в форме	2	3
71	а в	13	3
72	в данном	8	3
73	их в	3	3
74	никто не	2	3
75	в русской	6	3
76	героя и	5	3
77	герой не	3	3
78	перед нами	2	2
79	вовсе не	3	2
80	таких случаях	2	2
81	можно сказать	3	2
82	об этом	2	2
83	мы легко	2	2
84	а на	3	2
85	того же	3	2
86	в формах	2	2
87	если бы	3	2
88	от себя	3	2
89	одним из	2	2
90	как бы	5	2
91	и потому	2	2
92	даже в	3	2
93	один из	2	2
94	в своей	6	2
95	отношению к	4	2
96	ее в	2	2
97	данном случае	5	2
98	со стороны	2	2
99	по отношению	4	2
100	и для	2	2
101	в одно	2	2
102	а не	9	2
103	того что	4	2
104	и по	2	2
105	роль в	2	2
106	так в	4	2
107	то в	2	2
108	сказать что	3	2
109	но он	3	2
110	точки зрения	9	2
111	к его	2	2
112	это было	2	2
