N	3gram	Vinokur_Ku_1	Analitik
1	не может быть	3	16
2	в том что	15	9
3	в то же	2	8
4	в том чтобы	8	7
5	то же время	2	6
6	по отношению к	8	5
7	с точки зрения	9	4
8	состоит в том	3	3
9	не в том	4	3
10	для того чтобы	15	3
11	о том что	5	3
12	того или иного	3	3
13	и т п	18	3
14	мере в какой	5	2
15	в самом деле	7	2
16	того что в	2	2
17	в этом отношении	5	2
18	в свое время	2	2
19	том что он	4	2
20	в той мере	5	2
21	одного и того	2	2
22	той мере в	5	2
23	в том и	2	2
24	и того же	2	2
25	с другой стороны	6	2
