N	2gram	Ircho_Kome_1	Stilisti
1	и в	22	42
2	не только	10	27
3	прежде всего	5	22
4	но и	11	15
5	то же	6	15
6	и не	8	14
7	может быть	9	12
8	не может	2	12
9	точки зрения	4	11
10	как и	9	11
11	и как	3	10
12	как мы	4	10
13	в этом	3	10
14	при этом	5	9
15	в то	10	9
16	то что	2	9
17	мы не	3	9
18	все же	3	8
19	таким образом	8	8
20	в себе	2	8
21	же время	4	7
22	и тем	2	7
23	и на	3	7
24	потому что	5	7
25	так как	4	7
26	было бы	2	7
27	и его	8	7
28	мы можем	4	7
29	только в	3	7
30	в которой	6	7
31	ничего не	3	7
32	не в	6	6
33	в этой	7	6
34	в свою	2	6
35	на его	5	6
36	в форме	2	6
37	в конце	6	6
38	в нем	4	6
39	так и	5	6
40	в области	2	6
41	уже в	5	5
42	независимо от	2	5
43	мы видели	2	5
44	а в	6	5
45	и с	3	5
46	же самое	2	5
47	как это	3	5
48	в сознании	3	5
49	точек зрения	2	5
50	в его	5	5
51	вместе с	2	5
52	и без	2	4
53	к тому	6	4
54	в качестве	4	4
55	в самом	2	4
56	один из	5	4
57	все это	5	4
58	так же	3	4
59	о том	8	4
60	его в	3	4
61	но в	4	4
62	у нас	3	4
63	всего в	3	4
64	на него	4	4
65	что у	2	3
66	главным образом	3	3
67	здесь мы	3	3
68	слова о	2	3
69	не мог	3	3
70	хотя и	3	3
71	в котором	4	3
72	в целом	3	3
73	не к	2	3
74	из них	10	3
75	чаще всего	3	3
76	во второй	3	3
77	и вот	4	3
78	и даже	5	3
79	и здесь	2	3
80	в начале	3	3
81	и все	3	3
82	в одном	8	3
83	том что	12	3
84	в тех	3	3
85	еще не	2	3
86	что и	4	3
87	да и	3	3
88	конце концов	4	3
89	место в	3	2
90	в частности	3	2
91	вопрос о	3	2
92	в том	11	2
93	тому же	6	2
94	но это	2	2
95	из всего	2	2
96	времени и	2	2
97	до конца	2	2
98	и сам	3	2
99	несмотря на	4	2
100	такой прием	2	2
101	отношение к	3	2
102	в первой	2	2
103	не говоря	2	2
104	в отношении	6	2
105	этом отношении	3	2
106	еще и	2	2
107	каждый из	3	2
108	в своих	2	2
109	по своей	2	2
110	к которому	3	2
111	для них	2	2
112	для всех	2	2
113	однако в	3	2
114	к этому	4	2
115	связанные с	2	2
116	ясно что	4	2
117	что он	6	2
118	а к	2	2
119	должна была	2	2
120	но не	2	2
121	по своему	3	2
122	тот же	3	2
123	одной из	3	2
124	сих пор	2	2
125	как в	5	2
126	при всем	2	2
127	ли не	4	2
128	должны были	8	2
129	мы найдем	2	2
130	из которых	2	2
131	к нему	2	2
132	или в	2	2
133	тем что	4	2
