N	2gram	Berdyaev_O_1	Hudozhes
1	том что	2	16
2	и в	19	14
3	так и	2	13
4	а не	11	12
5	в том	5	12
6	не только	11	12
7	о том	3	12
8	прежде всего	9	11
9	в этом	12	11
10	в себе	3	11
11	для него	5	10
12	в своей	2	10
13	у него	22	9
14	что он	3	9
15	как и	6	9
16	то что	5	8
17	в этой	5	8
18	в его	7	8
19	ничего не	2	8
20	быть может	3	7
21	это не	3	7
22	не в	11	7
23	еще не	3	7
24	как бы	3	7
25	не может	4	7
26	а в	5	7
27	никогда не	9	6
28	что в	4	6
29	было бы	3	6
30	жизни в	2	6
31	человека в	11	6
32	с его	4	5
33	в этих	3	5
34	может быть	11	5
35	и он	8	5
36	но и	13	5
37	и его	4	5
38	потому что	9	5
39	человеческих отношений	4	5
40	но в	2	5
41	в своем	2	4
42	т е	4	4
43	и от	3	4
44	и все	10	4
45	и к	2	4
46	в самом	5	4
47	и о	2	4
48	не было	9	4
49	того что	3	4
50	он не	7	4
51	в русской	3	4
52	с ним	3	4
53	и с	2	4
54	что у	2	3
55	но он	7	3
56	в ее	2	3
57	от него	7	3
58	в нем	10	3
59	все же	2	3
60	и для	2	3
61	о природе	3	3
62	все эти	4	3
63	лишь в	7	3
64	того чтобы	4	3
65	к этой	2	3
66	в своих	3	3
67	тем что	2	3
68	и на	2	3
69	как к	2	3
70	его в	2	3
71	в творчестве	5	3
72	в человеке	9	2
73	все еще	2	2
74	о человеке	29	2
75	и потому	2	2
76	вопрос о	10	2
77	по себе	2	2
78	человека его	3	2
79	так что	2	2
80	своей жизни	2	2
81	в другом	2	2
82	его героев	2	2
83	до конца	7	2
84	вместо того	2	2
85	хотя и	2	2
86	что же	2	2
87	все это	6	2
88	и не	13	2
89	что не	4	2
90	не имеет	2	2
91	должно быть	2	2
92	личности и	2	2
93	нет ничего	7	2
