N	2gram	Tiupa_Anal_3	Istorich
1	и в	18	22
2	мы имеем	5	19
3	в этом	14	17
4	что в	9	15
5	не только	22	14
6	но и	13	12
7	и не	12	12
8	может быть	9	11
9	еще не	6	10
10	таким образом	4	10
11	после чего	2	10
12	но в	2	10
13	что он	4	9
14	в нем	2	9
15	что и	5	9
16	вместе с	2	9
17	в том	9	9
18	что они	3	8
19	с этим	3	8
20	том что	12	8
21	другой стороны	5	7
22	с другой	7	7
23	к этому	3	7
24	но не	7	7
25	то что	2	7
26	уже не	5	7
27	и здесь	2	7
28	там где	2	7
29	в них	2	6
30	это не	2	6
31	связь с	2	6
32	а в	10	6
33	то же	3	6
34	а не	9	6
35	так в	3	6
36	мы можем	2	6
37	ничего не	3	6
38	не менее	4	5
39	в частности	12	5
40	тем не	2	5
41	один из	2	5
42	все же	4	5
43	что она	2	5
44	он не	6	5
45	могут быть	2	5
46	в этой	6	5
47	власть над	2	4
48	не всегда	3	4
49	как это	3	4
50	не в	6	4
51	в дальнейшем	2	4
52	с появлением	2	4
53	в пределах	4	4
54	только в	2	4
55	в свою	5	4
56	и его	13	4
57	и на	4	4
58	в данном	4	4
59	не может	2	4
60	тем что	2	4
61	все эти	2	4
62	состоит в	4	3
63	и от	2	3
64	о себе	2	3
65	и все	2	3
66	не видно	2	3
67	прежде всего	5	3
68	к тому	6	3
69	и к	4	3
70	как и	14	3
71	и как	4	3
72	представляет собой	5	3
73	было бы	3	3
74	на его	2	3
75	в его	7	3
76	никогда не	5	3
77	вступить в	2	3
78	в целом	3	3
79	данном случае	3	3
80	со стороны	9	3
81	его не	3	3
82	сказать что	2	3
83	однако что	4	3
84	вступает в	3	3
85	он и	3	3
86	и ее	2	3
87	из этих	3	3
88	далеко не	4	3
89	в русской	7	3
90	о том	6	3
91	его в	3	3
92	здесь не	3	3
93	не было	3	2
94	с тем	2	2
95	только не	3	2
96	здесь и	3	2
97	в одном	4	2
98	в жизни	2	2
99	говорит и	3	2
100	в тех	2	2
101	можно сказать	4	2
102	во всяком	2	2
103	же в	2	2
104	тому же	3	2
105	но они	2	2
106	одна из	2	2
107	с одной	2	2
108	как в	3	2
109	при этом	11	2
110	в качестве	12	2
111	на себя	2	2
112	одной стороны	2	2
113	совершенно не	2	2
114	например в	2	2
115	не мог	2	2
116	да и	2	2
117	хотя и	2	2
118	в ней	2	2
119	и потому	2	2
120	и он	2	2
121	всяком случае	2	2
122	даже в	2	2
123	к жизни	3	2
124	не с	2	2
125	отношению к	7	2
126	так и	14	2
127	по отношению	7	2
128	в своем	4	2
129	не могла	2	2
130	в особенности	3	2
131	той же	5	2
132	и вот	2	2
133	что не	3	2
134	и даже	8	2
135	и для	2	2
136	роль в	3	2
137	дело с	3	2
138	между тем	5	2
139	точки зрения	3	2
140	в то	3	2
141	как правило	5	2
142	а также	2	2
143	что по	4	2
