N	3gram	Vygotskiy__4	KulturaY
1	и т п	3	41
2	с точки зрения	4	16
3	в самом деле	7	11
4	для того чтобы	19	11
5	можно было бы	4	10
6	в том что	12	8
7	и т д	2	8
8	до сих пор	3	8
9	и в самом	2	4
10	до тех пор	2	4
11	и в этом	3	4
12	тех пор пока	2	4
13	с одной стороны	3	4
14	с другой стороны	2	3
15	сам по себе	2	3
16	в том чтобы	3	3
17	было бы сказать	2	3
18	на самом деле	5	3
19	о том что	10	3
20	сама по себе	3	2
21	совершенно ясно что	3	2
22	в какой мере	2	2
23	смысле этого слова	3	2
24	и только после	5	2
25	к тому же	2	2
