N	2gram	Tiupa_Vved_1	Dialekti
1	и не	12	27
2	а не	15	26
3	и в	13	24
4	не только	20	23
5	что такое	18	21
6	по себе	2	20
7	не может	7	19
8	то что	6	14
9	может быть	18	13
10	таким образом	4	13
11	того что	6	12
12	не менее	4	11
13	не имеет	2	11
14	что же	3	11
15	тем не	3	10
16	отнюдь не	7	10
17	не существует	2	10
18	но и	19	9
19	стало быть	7	9
20	прежде всего	7	8
21	что мы	2	8
22	том что	7	8
23	в этом	21	8
24	что в	3	7
25	никогда не	4	7
26	в самом	2	7
27	потому что	5	7
28	как и	11	7
29	как раз	2	7
30	должна быть	2	6
31	и с	2	6
32	о том	5	6
33	если бы	7	6
34	и все	4	6
35	об этом	4	6
36	что и	2	6
37	то же	5	6
38	самом деле	3	6
39	в том	10	5
40	но это	3	5
41	хотя и	7	5
42	точка зрения	3	5
43	жизни и	7	5
44	и его	5	5
45	или не	2	5
46	в то	4	5
47	в них	2	5
48	и к	2	5
49	было бы	4	5
50	он не	3	5
51	так и	8	5
52	уже не	5	5
53	мы не	4	5
54	только в	6	5
55	с другой	5	4
56	это не	6	4
57	или иной	3	4
58	к тому	6	4
59	как о	2	4
60	говорить о	2	4
61	и мира	3	4
62	тому как	2	4
63	мы и	2	4
64	подобно тому	2	4
65	ни от	2	4
66	для него	3	4
67	перед нами	6	3
68	не было	2	3
69	все же	6	3
70	в своем	5	3
71	в одной	2	3
72	и от	2	3
73	не в	6	3
74	есть в	2	3
75	же время	3	3
76	одной стороны	5	3
77	в основе	3	3
78	в нем	5	3
79	то и	2	3
80	с одной	5	3
81	и на	3	3
82	мере в	2	3
83	он и	2	3
84	тем что	2	3
85	мира и	2	3
86	в силу	2	3
87	одна из	4	3
88	все что	3	3
89	как бы	4	3
90	быть и	2	3
91	тем самым	5	3
92	в слове	3	3
93	зависит от	2	2
94	но на	2	2
95	в частности	13	2
96	двух или	3	2
97	из этих	3	2
98	для нас	2	2
99	тому же	4	2
100	еще не	7	2
101	не можем	2	2
102	при этом	26	2
103	например в	2	2
104	не о	2	2
105	той или	3	2
106	не вполне	3	2
107	и тем	2	2
108	другой стороны	2	2
109	она была	2	2
110	целый ряд	2	2
111	быть не	4	2
112	сознания в	3	2
113	и по	3	2
114	а в	6	2
115	быть только	2	2
116	в своих	2	2
117	о ней	4	2
118	также и	4	2
119	никак не	2	2
120	их в	2	2
121	в ней	4	2
122	в первом	2	2
123	бы в	3	2
124	но в	6	2
125	но они	2	2
126	нового времени	3	2
127	начало и	2	2
128	но не	5	2
129	и понимания	2	2
130	отличаться от	2	2
131	со стороны	5	2
132	бытия в	2	2
133	так в	4	2
134	но о	2	2
135	все равно	2	2
136	как мы	3	2
137	и сами	2	2
138	и для	3	2
139	событие как	2	2
140	или иначе	2	2
141	в данном	13	2
142	могут быть	4	2
143	в себе	5	2
144	в его	4	2
