N	2gram	Tiupa_Lite_1	Istorich
1	и в	8	25
2	что он	5	22
3	может быть	13	17
4	не только	24	13
5	но и	17	13
6	в его	7	12
7	и не	12	11
8	уже не	7	11
9	все же	4	10
10	в этом	12	10
11	тем что	2	10
12	с другой	3	9
13	его в	3	9
14	и его	4	9
15	таким образом	3	9
16	связи с	6	8
17	что в	3	8
18	том что	14	8
19	еще не	4	8
20	все эти	2	8
21	в частности	15	7
22	в качестве	17	7
23	как и	6	7
24	то что	10	7
25	одной стороны	2	7
26	в нем	2	7
27	с одной	2	7
28	превращается в	2	7
29	потому что	3	7
30	представляет собой	4	7
31	только в	8	7
32	о том	2	7
33	это не	4	6
34	прежде всего	11	6
35	себя в	6	6
36	как в	5	6
37	не может	5	6
38	не в	8	6
39	могут быть	2	6
40	в том	16	6
41	но не	4	5
42	например в	3	5
43	не менее	7	4
44	не как	4	4
45	и тем	4	4
46	тем не	2	4
47	в пределах	3	4
48	в связи	4	4
49	то же	5	4
50	на смену	6	4
51	никогда не	4	3
52	в целом	8	3
53	что его	3	3
54	в этой	4	3
55	в то	5	3
56	в себя	2	3
57	на том	2	3
58	и др	3	3
59	на себя	2	3
60	то это	2	3
61	на этом	2	3
62	друг друга	4	3
63	а в	3	3
64	в данном	5	3
65	в русской	10	3
66	уже в	5	2
67	это уже	2	2
68	у него	3	2
69	человека и	2	2
70	а как	2	2
71	не исключают	2	2
72	же в	5	2
73	с этой	5	2
74	одна из	3	2
75	того же	2	2
76	в формах	4	2
77	и сам	6	2
78	жизни и	3	2
79	несмотря на	3	2
80	от себя	2	2
81	одним из	5	2
82	как бы	7	2
83	еще в	4	2
84	даже в	2	2
85	один из	3	2
86	должен быть	2	2
87	в своей	4	2
88	отношению к	2	2
89	данном случае	4	2
90	со стороны	4	2
91	по отношению	3	2
92	здесь как	2	2
93	самом деле	2	2
94	а не	16	2
95	того что	6	2
96	роль в	2	2
97	точки зрения	6	2
98	ту же	2	2
99	из них	4	2
100	тех же	3	2
